Accession,PerGeneSubtype,FullGenomeSubtype,CometPerGeneSubtype,CometFullGenomeSubtype,GenBankSubtype,PresentMethodCount,BlankMethods,DistinctSubtypeCount,SubtypesObserved,AgreementStatus
MZ327781,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327782,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327783,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327784,2B,2B,2B,2B,2B,5,,1,2B,AllFiveAgree
MZ327785,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327786,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327787,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327788,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327789,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327790,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327791,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
MZ327792,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327793,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327794,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327795,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327796,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327797,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327798,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
MZ327799,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MZ327800,2B,2B,2B,2B,2B,5,,1,2B,AllFiveAgree
ON314812,2K,2Q,2J,2K,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314813,2Q,2K,2K,2K,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314814,2Q,2Q,2Q,2Q,,4,GenBank,1,2Q,AvailableCallsAgree
ON314815,2Q,2Q,2K,2J,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314816,2D,2D,2J,2J,,4,GenBank,2,2D;2J,AvailableCallsDisagree
ON314817,2Q,2Q,2Q,2K,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314818,2Q,2K,2K,2K,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314819,2Q,2Q,2K,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314820,2K,2Q,2K,2J,,4,GenBank,3,2J;2K;2Q,AvailableCallsDisagree
ON314821,2V,2D,2J,2J,,4,GenBank,3,2D;2J;2V,AvailableCallsDisagree
ON314823,2M,2Q,2M,2J,,4,GenBank,3,2J;2M;2Q,AvailableCallsDisagree
ON314824,2Q,2Q,2Q,2Q,,4,GenBank,1,2Q,AvailableCallsAgree
ON314825,2Q,2Q,2Q,2J,,4,GenBank,2,2J;2Q,AvailableCallsDisagree
ON314826,2C,2C,2J,2J,,4,GenBank,2,2C;2J,AvailableCallsDisagree
ON314827,2Q,2Q,2K,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
ON314828,2K,2Q,2K,2Q,,4,GenBank,2,2K;2Q,AvailableCallsDisagree
PQ365497,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365498,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365499,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365500,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365501,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365502,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365503,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365504,3I,3I,3I,3I,3I,5,,1,3I,AllFiveAgree
PQ365505,3B,3B,3B,3B,3B,5,,1,3B,AllFiveAgree
PQ365506,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365507,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365508,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365509,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365510,1B,1B,1B,1B,1B,5,,1,1B,AllFiveAgree
PQ365511,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365512,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365513,3D,3D,3A,3A,3D,5,,2,3A;3D,AllFiveDisagree
PQ365514,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365515,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365516,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365517,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365518,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365519,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365520,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365521,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365522,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365523,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365524,3E,3E,3A,3A,3E,5,,2,3A;3E,AllFiveDisagree
PQ365525,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365526,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365527,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365528,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365529,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365530,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365531,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365532,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365533,1A,1A,1A,1A,1A,5,,1,1A,AllFiveAgree
PQ365534,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365535,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365536,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365537,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365538,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
PQ365540,3A,3A,3A,3A,3A,5,,1,3A,AllFiveAgree
MT633132,7B,7B,1B,1B,7B,5,,2,1B;7B,AllFiveDisagree
MT863870,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863871,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863872,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863873,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863874,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863875,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863876,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863877,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863878,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863879,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863880,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863881,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863882,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863883,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863884,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863885,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863886,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863887,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863888,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863889,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863890,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863891,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863892,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863893,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863894,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863895,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863896,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863897,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863898,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863899,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863900,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863901,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863902,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863903,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863904,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863905,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863906,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863907,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863908,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863909,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863910,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863911,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863912,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863913,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863914,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863915,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863916,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863917,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863918,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863919,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
MT863920,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863921,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863922,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863923,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863924,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863925,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863926,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863927,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863928,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863929,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863930,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863931,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863932,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863933,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863934,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863935,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
MT863936,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT863937,3A,3A,3A,3A,,4,GenBank,1,3A,AvailableCallsAgree
MT893899,4R,4R,4R,4R,4R,5,,1,4R,AllFiveAgree
MT893900,4C,4C,4C,4C,4C,5,,1,4C,AllFiveAgree
MT893901,4C,4C,4C,4C,4C,5,,1,4C,AllFiveAgree
MT893902,4K,4K,4K,4K,4K,5,,1,4K,AllFiveAgree
MT893903,4R,4R,4R,4R,4R,5,,1,4R,AllFiveAgree
MT893904,4C,4C,4C,4C,4C,5,,1,4C,AllFiveAgree
MT893905,4R,4R,4R,4R,4R,5,,1,4R,AllFiveAgree
MT893906,4R,4R,4R,4R,4R,5,,1,4R,AllFiveAgree
MW041294,2R,2C,2J,2J,,4,GenBank,3,2C;2J;2R,AvailableCallsDisagree
MW041295,2V,2V,2J,2J,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041296,2R,2C,2C,2J,,4,GenBank,3,2C;2J;2R,AvailableCallsDisagree
MW041297,2V,2V,2J,2J,,4,GenBank,2,2J;2V,AvailableCallsDisagree
MW041298,2V,2V,2A,2J,,4,GenBank,3,2A;2J;2V,AvailableCallsDisagree
MW041299,2V,2V,2J,2J,,4,GenBank,2,2J;2V,AvailableCallsDisagree
ON630763,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630764,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630765,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630766,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630767,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630768,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630769,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630770,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630771,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630772,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630773,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630774,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630775,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630776,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630777,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630778,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630779,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630780,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630781,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630782,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630783,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630784,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630785,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630786,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630787,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630788,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630789,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630790,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630791,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630792,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630793,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630794,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630795,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630796,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630797,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630798,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630799,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630800,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630801,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630802,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630803,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630804,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630805,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630806,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630807,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630808,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630809,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630810,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630811,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630812,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630813,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630814,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630815,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630816,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630817,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630818,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630819,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630820,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630821,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630822,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630823,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630824,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630825,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630826,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630827,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630828,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630829,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630830,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630831,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630832,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630833,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630834,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630835,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630836,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630837,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630838,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630839,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630840,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630841,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630842,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630843,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630844,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630845,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630846,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630847,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630848,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630849,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630850,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630851,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630852,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630853,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630854,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630855,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630856,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630857,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630858,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630859,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630860,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630861,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630862,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630863,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630864,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630865,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630866,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630867,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630868,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630869,1A,1A,1A,1A,,4,GenBank,1,1A,AvailableCallsAgree
ON630870,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630871,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630872,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630873,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630874,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630875,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630876,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630877,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630878,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630879,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630880,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630881,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630882,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630883,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630884,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630885,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630886,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630887,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630888,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
ON630889,4D,4D,4D,4D,,4,GenBank,1,4D,AvailableCallsAgree
