Accession,Genotype1Distance,Genotype2Distance,Genotype3Distance,Genotype4Distance,Genotype5Distance,Genotype6Distance,Genotype7Distance,Genotype8Distance,FirstChoiceGenotype,FirstChoiceDistance,SecondChoiceGenotype,SecondChoiceDistance
MZ327786,29.678,31.293,7.132,28.918,29.942,30.357,30.442,30.903,3,7.132,4,28.918
MZ327789,29.099,30.749,7.290,28.940,29.620,29.738,30.430,29.725,3,7.290,4,28.940
MZ327794,29.468,31.154,6.498,30.148,29.554,29.984,30.305,29.487,3,6.498,5,29.554
MZ327796,29.257,30.818,5.177,29.250,29.747,29.097,31.372,30.212,3,5.177,6,29.097
MZ327799,29.151,31.211,5.388,29.567,29.136,30.179,31.036,30.777,3,5.388,5,29.136
PQ365498,29.852,30.802,7.132,29.620,30.173,29.424,31.250,30.042,3,7.132,6,29.424
PQ365501,29.889,31.135,6.022,29.250,29.589,30.563,31.076,30.985,3,6.022,4,29.250
PQ365502,29.794,30.558,5.391,29.173,30.121,30.295,31.263,29.984,3,5.391,4,29.173
PQ365504,30.174,30.822,23.374,30.101,30.354,31.309,31.816,29.857,3,23.374,8,29.857
PQ365505,27.918,29.288,21.417,29.039,29.257,29.926,30.248,28.820,3,21.417,1,27.918
PQ365506,30.116,31.902,7.448,29.958,30.164,30.547,32.299,31.233,3,7.448,5,30.164
PQ365508,30.242,30.782,6.709,29.847,30.478,30.290,31.145,30.603,3,6.709,4,29.847
PQ365509,30.258,31.098,6.445,30.079,29.768,30.285,30.955,30.324,3,6.445,5,29.768
PQ365511,29.653,30.781,6.128,29.446,29.186,29.557,30.725,30.407,3,6.128,5,29.186
PQ365512,30.263,30.846,6.498,29.800,30.410,29.942,31.069,30.517,3,6.498,4,29.800
PQ365513,30.575,32.084,20.011,30.851,30.692,30.725,31.534,31.058,3,20.011,5,30.692
PQ365514,29.837,30.871,6.973,28.940,29.219,29.984,31.172,30.460,3,6.973,4,28.940
PQ365515,30.026,30.769,7.026,29.741,29.390,29.325,31.161,30.308,3,7.026,6,29.325
PQ365517,30.380,30.591,8.452,29.937,30.359,30.341,31.227,31.243,3,8.452,4,29.937
PQ365518,30.327,31.376,7.237,30.469,30.535,30.542,31.283,30.696,3,7.237,5,30.535
PQ365519,29.604,31.746,6.656,29.741,29.979,29.322,30.382,29.925,3,6.656,6,29.322
PQ365520,29.715,30.996,6.181,29.024,29.784,30.089,30.709,29.574,3,6.181,4,29.024
PQ365521,29.852,31.734,6.920,29.384,29.567,30.195,30.777,30.941,3,6.920,5,29.567
PQ365522,29.837,30.964,6.128,29.303,29.905,29.768,31.355,30.724,3,6.128,4,29.303
PQ365523,29.573,32.401,7.237,29.257,30.037,30.284,30.713,30.192,3,7.237,4,29.257
PQ365524,30.993,31.186,20.296,29.868,30.627,30.899,31.356,30.589,3,20.296,4,29.868
PQ365525,30.623,31.926,7.607,29.437,29.761,30.591,31.405,30.446,3,7.607,4,29.437
PQ365526,29.837,30.279,6.973,29.303,29.878,29.294,31.087,30.265,3,6.973,6,29.294
PQ365528,29.458,30.899,7.396,29.610,29.889,29.390,30.682,29.175,3,7.396,8,29.175
PQ365529,29.905,31.734,6.762,29.384,29.567,30.195,30.725,30.769,3,6.762,5,29.567
PQ365530,29.542,30.623,6.550,29.281,29.517,29.757,31.105,30.197,3,6.550,4,29.281
PQ365531,30.000,30.011,7.713,29.514,30.089,29.573,31.335,30.319,3,7.713,4,29.514
PQ365532,29.610,30.769,7.079,29.536,29.325,30.142,30.810,30.899,3,7.079,5,29.325
PQ365534,30.021,31.395,7.237,30.217,30.442,30.781,31.490,30.511,3,7.237,1,30.021
PQ365535,29.700,30.712,7.079,29.446,29.464,29.989,31.089,30.479,3,7.079,5,29.464
PQ365536,29.889,30.769,5.969,29.303,29.657,30.010,30.882,29.840,3,5.969,4,29.303
PQ365537,29.895,30.765,6.550,29.620,29.995,29.789,31.129,30.042,3,6.550,4,29.620
PQ365538,29.415,30.534,6.075,29.024,30.236,29.272,30.951,30.138,3,6.075,4,29.024
PQ365539,27.720,30.347,20.934,28.153,28.548,28.745,30.354,28.467,3,20.934,1,27.720
PQ365540,29.325,30.834,7.079,29.415,30.538,29.869,30.435,30.761,3,7.079,1,29.325
MT863870,32.249,,5.651,29.934,30.295,29.310,31.980,34.063,3,5.651,6,29.310
MT863871,32.249,,5.651,29.934,30.295,29.310,31.980,34.063,3,5.651,6,29.310
MT863872,,33.773,7.005,32.524,31.117,29.041,,31.602,3,7.005,6,29.041
MT863873,,33.773,7.005,32.524,31.117,29.041,,31.602,3,7.005,6,29.041
MT863892,,,4.369,32.203,30.263,29.041,,31.847,3,4.369,6,29.041
MT863893,,,4.369,32.203,30.263,29.041,,31.847,3,4.369,6,29.041
MT863894,32.249,,5.651,29.934,30.295,29.310,31.980,34.063,3,5.651,6,29.310
MT863895,,,5.314,33.010,31.053,28.962,31.818,34.383,3,5.314,6,28.962
MT863902,,,4.348,32.203,29.737,28.219,31.362,34.383,3,4.348,6,28.219
MT863903,33.094,32.836,4.348,33.010,30.526,29.315,,27.941,3,4.348,6,29.315
MT863914,33.976,33.902,6.039,32.203,30.789,30.245,31.202,30.736,3,6.039,6,30.245
MT863915,33.174,32.688,5.060,33.172,30.709,29.076,31.472,34.541,3,5.060,6,29.076
MT863926,34.127,33.010,5.556,31.511,30.952,30.245,29.831,35.789,3,5.556,6,30.245
MT863927,34.293,32.524,4.831,33.173,31.300,29.315,29.153,35.835,3,4.831,6,29.315
MT863928,,,5.314,31.935,31.565,29.315,29.153,34.867,3,5.314,6,29.315
MT863929,,,4.831,33.495,31.034,29.041,29.352,34.383,3,4.831,6,29.041
MT863930,33.976,33.902,6.039,32.203,30.789,30.245,31.202,30.736,3,6.039,6,30.245
MT863931,33.654,34.146,6.522,32.688,30.789,30.518,31.202,27.273,3,6.522,5,30.789
MT863932,31.746,33.916,5.583,32.767,32.632,30.411,,,3,5.583,6,30.411
MT863933,31.746,33.916,5.583,32.767,32.632,30.411,,,3,5.583,6,30.411
MT863936,33.333,34.634,5.340,31.173,31.316,29.041,32.316,27.219,3,5.340,6,29.041
MT863937,34.129,33.333,4.126,33.495,30.263,29.315,,35.422,3,4.126,5,30.263
MT995316,29.768,31.224,5.124,29.319,29.731,29.706,31.165,29.862,3,5.124,4,29.319
MT995317,30.137,31.171,5.388,29.197,29.784,29.495,31.132,29.862,3,5.388,4,29.197
MT995318,30.137,31.171,5.388,29.197,29.784,29.495,31.132,29.862,3,5.388,4,29.197
MT995319,29.715,31.484,5.335,29.244,29.626,29.758,31.112,29.756,3,5.335,4,29.244
MT995320,30.242,31.435,5.494,29.228,29.837,30.021,31.496,30.181,3,5.494,4,29.228
MT995321,29.610,30.592,5.233,29.182,30.222,29.937,30.709,30.149,3,5.233,4,29.182
MT995322,29.610,30.592,5.285,29.182,30.222,29.884,30.656,30.149,3,5.285,4,29.182
MT995323,29.610,30.592,5.285,29.182,30.222,29.884,30.656,30.149,3,5.285,4,29.182
MT995324,29.610,30.592,5.285,29.182,30.222,29.884,30.656,30.149,3,5.285,4,29.182
MT995325,29.663,30.960,5.444,29.182,30.116,29.989,30.604,30.202,3,5.444,4,29.182
MT995326,29.725,31.135,5.547,28.669,29.626,29.989,30.741,29.915,3,5.547,4,28.669
MT995327,29.725,31.135,5.600,28.669,29.678,29.989,30.741,29.915,3,5.600,4,28.669
MT995328,29.725,31.135,5.600,28.669,29.678,29.989,30.741,29.915,3,5.600,4,28.669
MT995329,29.620,31.435,5.441,28.775,30.100,30.095,30.793,29.741,3,5.441,4,28.775
MT995330,29.567,31.313,5.811,28.617,29.995,29.779,31.004,29.757,3,5.811,4,28.617
MT995331,30.327,31.329,5.441,29.884,30.522,29.727,31.024,30.446,3,5.441,6,29.727
MT995332,30.327,31.171,5.441,29.989,30.575,29.674,31.024,30.446,3,5.441,6,29.674
MT995333,30.327,31.171,5.441,29.989,30.575,29.674,31.024,30.446,3,5.441,6,29.674
MT995334,30.432,31.257,5.547,30.074,30.627,29.674,30.971,30.446,3,5.547,6,29.674
MT995335,30.485,31.204,5.600,30.127,30.575,29.727,31.024,30.393,3,5.600,6,29.727
MT995346,29.347,30.973,5.969,29.175,30.416,29.863,31.230,29.815,3,5.969,4,29.175
MT995347,29.294,30.920,5.917,29.175,30.364,29.811,31.230,29.868,3,5.917,4,29.175
MT995348,29.294,30.920,5.917,29.175,30.364,29.811,31.230,29.868,3,5.917,4,29.175
MT995349,29.452,31.078,6.075,29.281,30.416,29.968,31.230,29.815,3,6.075,4,29.281
MT995350,29.294,30.920,5.917,29.175,30.364,29.811,31.230,29.868,3,5.917,4,29.175
ON376995,32.386,33.648,10.681,32.510,33.017,31.081,,32.432,3,10.681,6,31.081
ON603922,32.386,33.648,10.681,32.510,33.017,31.081,,32.432,3,10.681,6,31.081
ON603923,32.386,33.648,10.681,32.510,33.017,31.081,,32.432,3,10.681,6,31.081
ON603924,32.270,34.156,8.471,32.008,32.325,30.975,32.941,28.779,3,8.471,6,30.975
ON603925,30.246,32.576,9.576,31.179,31.569,30.534,32.866,33.650,3,9.576,1,30.246
ON603926,32.700,31.879,6.839,31.810,32.448,29.480,,33.714,3,6.839,6,29.480
ON603927,31.707,32.136,4.972,31.749,33.459,28.544,31.890,32.319,3,4.972,6,28.544
ON603928,33.021,31.002,6.814,31.369,,27.778,31.693,31.939,3,6.814,6,27.778
ON603929,32.458,31.569,6.630,31.559,,28.161,31.496,32.319,3,6.630,6,28.161
ON603930,32.833,31.758,5.893,31.559,,28.352,31.496,32.319,3,5.893,6,28.352
ON603931,32.331,32.768,7.919,31.939,32.703,29.693,32.490,26.596,3,7.919,6,29.693
ON603932,33.585,32.392,5.893,31.939,33.270,28.215,32.283,33.143,3,5.893,6,28.215
ON603933,32.392,32.765,7.011,31.526,32.325,29.962,,33.080,3,7.011,6,29.962
ON603934,30.639,32.197,8.840,31.689,31.689,28.626,31.579,31.939,3,8.840,6,28.626
ON603935,31.767,32.448,7.366,31.559,33.459,30.153,30.938,32.319,3,7.366,6,30.153
ON603936,32.136,31.461,7.735,31.727,32.136,27.969,32.094,28.826,3,7.735,6,27.969
ON603937,31.947,33.144,6.998,32.448,31.698,29.198,31.526,33.080,3,6.998,6,29.198
ON603938,30.813,32.008,7.182,32.319,31.749,28.544,32.400,33.460,3,7.182,6,28.544
ON603939,32.955,32.892,5.157,32.890,,29.310,31.800,30.523,3,5.157,6,29.310
ON603940,33.665,32.642,9.208,32.129,32.264,30.534,32.609,32.890,3,9.208,6,30.534
MN628574,30.100,31.062,5.600,29.145,29.684,30.016,31.277,30.426,3,5.600,4,29.145
MN628575,29.626,31.590,6.656,28.760,29.821,30.316,31.352,30.765,3,6.656,4,28.760
MN628576,29.889,31.223,6.920,29.620,29.437,29.921,31.330,30.835,3,6.920,5,29.437
MN628577,29.368,31.277,6.022,29.129,29.731,30.378,30.728,30.393,3,6.022,4,29.129
MN628578,30.047,31.521,6.815,29.371,29.291,30.586,31.654,31.062,3,6.815,5,29.291
MN628579,29.678,31.478,6.286,29.461,29.895,30.437,30.872,30.446,3,6.286,4,29.461
MN628581,29.942,31.401,6.550,29.288,29.536,30.437,31.387,30.659,3,6.550,4,29.288
MN628582,30.137,30.996,6.128,28.933,29.789,29.768,31.367,30.675,3,6.128,4,28.933
MN628583,31.401,32.637,7.924,31.293,31.138,32.175,31.974,32.465,3,7.924,5,31.138
MN628584,29.589,31.277,6.181,29.092,29.378,30.279,31.762,30.871,3,6.181,4,29.092
MN628585,30.032,31.455,6.339,29.288,29.557,30.426,31.036,30.606,3,6.339,4,29.288
MN628586,29.889,31.277,5.864,29.099,29.526,30.474,31.334,30.659,3,5.864,4,29.099
MN628587,30.084,31.149,5.917,29.297,29.737,30.016,31.116,30.463,3,5.917,4,29.297
MN628588,29.557,31.347,6.498,29.461,29.520,30.357,31.334,30.781,3,6.498,4,29.461
MN628589,30.258,31.545,6.445,29.673,30.000,30.490,31.461,30.728,3,6.445,4,29.673
MN628590,30.206,31.652,6.128,29.620,30.105,30.490,31.514,30.569,3,6.128,4,29.620
MN628591,30.153,31.438,5.864,29.303,29.684,30.806,31.312,30.197,3,5.864,4,29.303
MN628593,30.290,31.294,5.969,29.720,30.279,30.474,31.655,31.363,3,5.969,4,29.720
MN628594,30.627,31.009,6.603,29.347,30.121,30.531,31.119,31.363,3,6.603,4,29.347
MN628595,30.153,30.794,5.811,29.197,29.737,29.858,31.170,30.250,3,5.811,4,29.197
MN628596,29.678,31.206,6.022,29.250,29.784,30.279,31.799,30.908,3,6.022,4,29.250
MN628597,29.874,31.562,6.233,29.235,29.821,30.595,31.227,30.606,3,6.233,4,29.235
MN650775,32.642,34.717,6.111,31.735,31.891,30.077,32.000,26.950,3,6.111,6,30.077
MN650776,32.957,33.712,4.815,33.080,32.768,29.885,33.465,34.030,3,4.815,6,29.885
MN650777,33.396,33.650,4.259,32.319,33.081,29.502,33.071,33.524,3,4.259,6,29.502
MN650778,,33.270,6.111,32.068,33.145,29.693,33.399,28.840,3,6.111,6,29.693
MN650779,,,5.370,31.939,32.768,29.119,31.890,33.080,3,5.370,6,29.119
MN650780,31.412,32.514,6.111,31.818,,29.119,32.685,32.890,3,6.111,6,29.119
MN650781,32.642,32.129,4.815,30.930,32.129,28.927,32.480,32.890,3,4.815,6,28.927
MN650782,34.026,32.700,6.111,32.129,31.569,29.502,,31.455,3,6.111,6,29.502
MN650783,31.887,32.061,5.185,32.500,32.762,29.310,32.745,33.837,3,5.185,6,29.310
MN650784,32.830,32.892,4.815,32.700,32.768,29.693,32.193,28.014,3,4.815,6,29.693
MN650785,32.453,32.392,6.481,32.642,32.264,30.153,32.932,29.329,3,6.481,6,30.153
MN650786,32.453,32.392,6.111,32.453,32.264,30.210,32.329,28.975,3,6.111,6,30.210
MN650787,33.270,,5.741,32.448,30.000,30.268,31.890,33.650,3,5.741,6,30.268
MN650788,33.081,33.650,0.926,32.317,34.216,29.693,33.540,33.207,3,0.926,6,29.693
MN650789,33.078,33.654,0.000,32.885,33.263,29.457,33.333,33.142,3,0.000,6,29.457
MN650790,33.585,32.068,6.296,31.749,32.890,30.077,,33.397,3,6.296,6,30.077
MN650791,33.522,32.448,5.741,32.448,32.768,29.693,,33.776,3,5.741,6,29.693
MN650792,34.659,,8.318,33.840,34.026,,,,3,8.318,4,33.840
MN650793,35.539,35.619,8.333,34.030,34.405,32.950,,30.742,3,8.333,6,32.950
MN650794,33.962,33.019,7.593,30.822,33.270,31.094,33.268,31.148,3,7.593,6,31.094
MN650795,33.459,34.601,6.296,32.510,33.710,30.344,33.071,28.826,3,6.296,6,30.344
MN650796,,33.460,6.296,32.258,30.789,29.885,33.202,29.154,3,6.296,6,29.885
MN650797,31.391,33.270,10.000,32.696,31.569,30.326,32.220,33.270,3,10.000,6,30.326
MN650798,32.885,34.091,10.370,31.689,,31.528,31.151,33.463,3,10.370,6,31.528
MN650814,33.128,34.304,8.889,32.294,,30.843,33.922,29.514,3,8.889,6,30.843
MN650819,32.957,33.837,5.000,30.995,32.892,30.077,32.480,27.660,3,5.000,6,30.077
MN970193,29.658,,12.793,34.118,33.862,33.719,36.253,32.484,3,12.793,6,33.719
MN970194,33.600,35.694,28.000,32.673,35.115,,34.109,,3,28.000,4,32.673
MT113067,32.215,29.776,27.162,30.550,32.596,30.162,31.426,29.192,3,27.162,8,29.192
MT254535,32.080,32.189,6.897,31.096,,29.801,32.877,30.523,3,6.897,6,29.801
MT632158,29.710,31.069,5.071,29.334,29.663,29.674,31.142,30.426,3,5.071,4,29.334
MT632162,30.021,30.976,6.501,29.340,30.011,29.526,31.181,30.306,3,6.501,6,29.526
MT632170,29.195,30.773,7.290,29.620,29.768,30.405,30.935,30.439,3,7.290,1,29.195
MT632172,29.309,31.082,6.973,29.175,30.522,30.547,30.703,30.672,3,6.973,4,29.175
MT632179,29.768,30.907,6.498,29.647,29.632,29.331,31.020,30.554,3,6.498,6,29.331
MT632180,29.595,31.065,6.920,28.654,30.311,29.842,30.412,30.324,3,6.920,4,28.654
MT632186,29.963,31.138,7.977,28.949,29.545,29.884,30.135,29.596,3,7.977,4,28.949
MT632194,29.347,31.204,5.652,29.378,29.926,30.021,31.217,30.826,3,5.652,4,29.378
PQ799512,30.919,32.539,7.163,31.505,32.163,29.903,30.909,31.461,3,7.163,6,29.903
PQ799529,30.417,32.636,7.022,31.373,32.073,30.575,31.856,32.057,3,7.022,1,30.417
PQ799531,30.759,32.361,7.789,31.711,31.586,29.363,31.667,31.389,3,7.789,6,29.363
PQ799537,31.111,32.727,6.108,31.276,31.276,31.049,30.682,31.117,3,6.108,6,31.049
PQ799540,31.120,32.821,6.320,31.373,31.276,31.092,30.693,31.117,3,6.320,6,31.092
PQ799542,31.906,30.972,7.650,30.598,32.410,30.886,32.507,32.128,3,7.650,4,30.598
PQ799550,30.435,32.777,7.121,32.466,31.619,29.545,31.627,31.928,3,7.121,6,29.545
PQ799554,31.789,30.795,7.853,30.506,30.261,30.343,28.764,34.036,3,7.853,6,30.343
PQ799557,33.172,31.527,6.585,31.034,30.189,31.010,29.639,,3,6.585,7,29.639
PQ799566,30.488,33.025,8.962,31.846,31.994,32.006,32.764,31.173,3,8.962,1,30.488
MK291242,27.760,29.025,6.612,26.827,27.964,29.431,28.950,28.782,3,6.612,4,26.827
MK609555,31.481,31.938,7.344,32.761,31.741,30.435,30.169,32.394,3,7.344,6,30.435
MK609556,31.183,31.776,7.031,31.104,31.327,30.482,31.757,31.719,3,7.031,6,30.482
MK609557,31.636,31.783,6.562,32.099,32.000,30.312,30.457,31.299,3,6.562,6,30.312
MK609558,32.562,32.764,8.594,31.832,31.895,30.312,31.197,33.072,3,8.594,6,30.312
MK609559,31.988,33.696,8.594,32.504,31.790,31.513,31.633,33.490,3,8.594,6,31.513
MK609560,31.988,33.385,8.906,32.193,31.790,31.825,31.633,33.594,3,8.906,1,31.988
MK609561,31.366,33.075,9.062,32.193,31.481,30.889,32.653,32.967,3,9.062,6,30.889
MK609562,32.974,32.193,8.750,32.970,31.895,30.889,32.437,33.333,3,8.750,6,30.889
MK609563,31.677,33.696,8.594,32.348,31.636,31.045,31.633,33.646,3,8.594,6,31.045
MK612005,29.690,31.053,5.335,28.797,29.737,30.147,30.729,29.984,3,5.335,4,28.797
MK612011,28.880,30.554,6.867,28.654,30.648,30.300,30.757,29.968,3,6.867,4,28.654
MK612017,29.520,31.237,6.128,29.213,30.301,30.410,30.940,30.266,3,6.128,4,29.213
MK612023,30.279,31.507,6.603,29.673,30.042,29.427,30.935,29.697,3,6.603,6,29.427
MK612026,29.390,31.085,6.973,29.099,29.821,29.874,31.112,30.138,3,6.973,4,29.099
MK612032,29.520,31.471,6.498,29.002,30.506,30.263,30.967,30.138,3,6.498,4,29.002
MK612035,29.347,30.891,6.762,29.409,29.889,29.832,30.737,30.319,3,6.762,4,29.409
MK801213,32.193,33.022,7.244,31.818,31.571,29.641,32.093,31.191,3,7.244,6,29.641
MK801214,32.243,33.229,7.413,31.868,31.620,29.624,32.298,31.240,3,7.413,6,29.624
MK801219,33.179,32.870,5.938,32.099,32.357,31.094,31.734,32.188,3,5.938,6,31.094
MK801220,33.025,32.716,5.781,31.944,32.203,30.938,31.579,32.031,3,5.781,6,30.938
MN231294,29.257,31.147,6.286,29.015,29.647,30.325,30.298,30.712,3,6.286,4,29.015
MN231295,29.309,31.147,6.392,29.015,29.715,30.503,30.244,30.818,3,6.392,4,29.015
MN328243,25.499,30.156,6.356,25.994,27.954,26.977,30.380,29.971,3,6.356,1,25.499
MN385583,28.232,29.396,21.047,29.551,29.651,29.735,30.540,28.918,3,21.047,1,28.232
MG428679,29.963,31.280,6.969,29.647,30.249,30.068,31.260,31.296,3,6.969,4,29.647
PP099888,33.495,33.929,8.689,32.736,32.633,31.220,32.953,34.534,3,8.689,6,31.220
MH119605,30.215,30.400,8.347,29.077,29.626,30.341,30.640,30.692,3,8.347,4,29.077
MH899135,,31.591,7.045,32.877,32.812,27.824,33.770,29.154,3,7.045,6,27.824
MH899138,,33.145,6.632,33.739,33.898,28.161,31.569,34.615,3,6.632,6,28.161
MH899142,32.892,34.216,6.526,31.120,31.569,31.034,32.677,33.097,3,6.526,4,31.120
MH899144,33.777,,5.051,33.221,33.459,31.052,,33.725,3,5.051,6,31.052
MK170197,,31.591,6.818,32.877,32.812,27.824,33.508,29.154,3,6.818,6,27.824
MK170200,,33.145,6.884,33.462,33.898,28.161,31.569,34.160,3,6.884,6,28.161
MK170204,33.208,35.350,8.289,33.158,33.459,32.824,,34.397,3,8.289,6,32.824
MK170206,33.777,,5.051,33.221,33.459,31.052,,33.725,3,5.051,6,31.052
OK552790,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552791,29.800,30.558,6.181,28.790,30.079,29.517,30.668,30.564,3,6.181,4,28.790
OK552792,29.747,30.506,6.233,28.737,30.079,29.517,30.668,30.564,3,6.233,4,28.737
OK552793,29.641,30.547,6.181,28.737,30.026,29.464,30.282,30.618,3,6.181,4,28.737
OK552794,29.747,30.558,6.233,28.843,30.079,29.517,30.423,30.564,3,6.233,4,28.843
OK552795,29.641,30.494,6.128,28.737,29.974,29.489,30.336,30.671,3,6.128,4,28.737
OK552796,29.589,30.494,6.181,28.790,30.026,29.412,30.336,30.618,3,6.181,4,28.790
OK552797,29.589,30.599,6.181,28.737,30.079,29.464,30.282,30.564,3,6.181,4,28.737
OK552798,29.800,30.558,6.181,28.790,30.079,29.517,30.668,30.564,3,6.181,4,28.790
OK552799,29.800,30.558,6.181,28.790,30.079,29.517,30.668,30.564,3,6.181,4,28.790
OK552800,29.747,30.599,6.233,28.511,30.079,29.412,30.282,30.671,3,6.233,4,28.511
OK552801,29.589,30.599,6.181,28.737,29.974,29.517,30.336,30.564,3,6.181,4,28.737
OK552802,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552803,29.800,30.506,6.233,28.737,30.026,29.517,30.615,30.511,3,6.233,4,28.737
OK552804,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552805,29.768,30.611,6.233,28.843,30.132,29.569,30.721,30.564,3,6.233,4,28.843
OK552806,29.589,30.579,6.181,28.768,29.974,29.412,30.228,30.671,3,6.181,4,28.768
OK552807,29.800,30.558,6.181,28.790,30.079,29.517,30.668,30.564,3,6.181,4,28.790
OK552808,29.694,30.599,6.181,28.790,30.079,29.517,30.336,30.671,3,6.181,4,28.790
OK552809,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552810,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552811,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552812,29.589,30.721,6.233,28.737,29.974,29.569,30.336,30.564,3,6.233,4,28.737
OK552813,29.641,30.547,6.233,28.843,30.026,29.517,30.390,30.495,3,6.233,4,28.843
OK552814,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552815,29.905,30.558,6.286,28.737,30.026,29.464,30.753,30.511,3,6.286,4,28.737
OK552816,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552817,29.852,30.611,6.233,28.843,30.132,29.569,30.721,30.618,3,6.233,4,28.843
OK552818,29.694,30.547,6.181,28.737,29.974,29.412,30.336,30.618,3,6.181,4,28.737
OK552819,29.641,30.547,6.181,28.790,30.079,29.517,30.336,30.564,3,6.181,4,28.790
OK552820,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552821,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552822,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552823,29.852,30.506,6.233,28.737,30.132,29.464,30.615,30.618,3,6.233,4,28.737
OK552824,29.641,30.547,6.128,28.737,30.026,29.464,30.282,30.618,3,6.128,4,28.737
OK552825,29.589,30.652,6.286,28.843,30.132,29.464,30.173,30.724,3,6.286,4,28.843
OK552826,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552827,29.694,30.652,6.286,28.843,30.185,29.569,30.282,30.724,3,6.286,4,28.843
OK552828,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552829,29.589,30.494,6.339,28.685,30.132,29.569,30.282,30.671,3,6.339,4,28.685
OK552830,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552831,29.589,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552832,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552833,29.694,30.652,6.286,28.843,30.132,29.464,30.282,30.618,3,6.286,4,28.843
OK552834,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552835,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552836,29.589,30.652,6.286,28.843,30.132,29.464,30.173,30.618,3,6.286,4,28.843
OK552837,29.747,30.547,6.339,28.790,30.079,29.517,30.336,30.618,3,6.339,4,28.790
OK552838,29.641,30.599,6.233,28.790,30.079,29.517,30.228,30.671,3,6.233,4,28.790
OK552839,29.694,30.547,6.286,28.843,30.132,29.569,30.282,30.618,3,6.286,4,28.843
OK552840,29.694,30.652,6.286,28.843,29.958,29.569,30.282,30.671,3,6.286,4,28.843
