Accession,AssignedGenotype,Subtype1aDistance,Subtype1aDistance,Subtype1bDistance,Subtype1bDistance,Subtype1cDistance,Subtype1cDistance,Subtype1dDistance,Subtype1eDistance,Subtype1eDistance,Subtype1gDistance,Subtype1gDistance,Subtype1hDistance,Subtype1hDistance,Subtype1iDistance,Subtype1jDistance,Subtype1kDistance,Subtype1lDistance,Subtype1lDistance,Subtype1mDistance,Subtype1mDistance,Subtype1nDistance,Subtype1nDistance,Subtype1oDistance,Subtype1oDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MW357811,1,21.951,21.951,6.813,6.813,21.684,21.684,13.869,22.871,22.871,20.631,20.631,19.221,19.221,12.165,21.168,21.168,21.550,21.550,23.659,23.659,20.681,20.681,20.098,20.098,1b,6.813,1i,12.165
MW357812,1,22.059,22.059,8.824,8.824,23.441,23.441,16.912,22.693,22.693,19.154,19.154,20.343,20.343,14.706,22.693,21.945,22.693,22.693,21.622,21.622,21.569,21.569,22.277,22.277,1b,8.824,1i,14.706
MW357813,1,22.469,22.469,7.160,7.160,22.139,22.139,15.556,21.945,21.945,18.765,18.765,19.950,19.950,12.593,21.836,20.792,22.660,22.660,23.367,23.367,20.741,20.741,20.398,20.398,1b,7.160,1i,12.593
MW357814,1,21.411,21.411,7.056,7.056,22.030,22.030,15.085,23.114,23.114,21.168,21.168,19.951,19.951,13.625,21.655,20.925,23.301,23.301,22.938,22.938,20.925,20.925,19.608,19.608,1b,7.056,1i,13.625
MZ327731,1,7.512,7.512,19.436,19.436,19.365,19.365,22.222,21.440,21.440,20.440,20.440,20.344,20.344,21.069,17.214,15.674,23.742,23.742,17.378,17.378,17.058,17.058,21.044,21.044,1a,7.512,1k,15.674
MZ327732,1,4.695,4.695,21.102,21.102,19.524,19.524,21.963,22.013,22.013,20.440,20.440,20.437,20.437,22.642,16.901,15.361,24.608,24.608,15.956,15.956,15.913,15.913,21.011,21.011,1a,4.695,1k,15.361
MZ327733,1,7.981,7.981,22.205,22.205,20.635,20.635,24.257,22.484,22.484,20.912,20.912,21.529,21.529,22.327,17.371,15.987,23.585,23.585,17.852,17.852,16.588,16.588,21.361,21.361,1a,7.981,1k,15.987
MZ327734,1,5.321,5.321,22.362,22.362,19.273,19.273,22.992,22.013,22.013,20.912,20.912,23.089,23.089,21.698,16.535,15.566,23.354,23.354,17.722,17.722,16.745,16.745,21.519,21.519,1a,5.321,1k,15.566
MZ327736,1,7.367,7.367,21.260,21.260,20.537,20.537,23.631,22.379,22.379,22.013,22.013,21.094,21.094,23.113,17.868,15.361,23.270,23.270,18.325,18.325,16.250,16.250,20.728,20.728,1a,7.367,1k,15.361
MZ327737,1,5.975,5.975,22.835,22.835,19.273,19.273,23.937,23.548,23.548,21.036,21.036,22.327,22.327,23.428,17.008,15.252,23.668,23.668,17.220,17.220,16.981,16.981,21.801,21.801,1a,5.975,1k,15.252
MZ327739,1,5.669,5.669,22.484,22.484,19.462,19.462,23.391,23.307,23.307,21.102,21.102,23.705,23.705,23.113,16.352,15.433,23.705,23.705,16.877,16.877,15.906,15.906,21.643,21.643,1a,5.669,1k,15.433
MZ327740,1,6.573,6.573,20.283,20.283,19.716,19.716,22.013,22.484,22.484,20.912,20.912,22.500,22.500,21.664,17.165,15.094,23.270,23.270,16.088,16.088,16.745,16.745,21.044,21.044,1a,6.573,1k,15.094
MZ327741,1,7.981,7.981,22.205,22.205,20.794,20.794,23.944,22.642,22.642,21.226,21.226,21.685,21.685,22.327,17.214,15.831,23.824,23.824,18.009,18.009,16.432,16.432,21.519,21.519,1a,7.981,1k,15.831
MZ327742,1,8.451,8.451,22.642,22.642,19.873,19.873,23.089,22.362,22.362,21.417,21.417,20.970,20.970,22.992,18.466,15.831,24.490,24.490,17.035,17.035,16.537,16.537,20.537,20.537,1a,8.451,1k,15.831
MZ327743,1,6.886,6.886,21.260,21.260,19.381,19.381,23.005,22.642,22.642,21.069,21.069,21.997,21.997,21.541,17.997,15.674,24.608,24.608,17.536,17.536,17.629,17.629,21.361,21.361,1a,6.886,1k,15.674
MZ327744,1,7.825,7.825,22.205,22.205,20.221,20.221,23.281,22.135,22.135,21.698,21.698,20.593,20.593,22.327,17.214,15.204,23.981,23.981,18.447,18.447,15.601,15.601,20.095,20.095,1a,7.825,1k,15.204
MZ327746,1,7.042,7.042,21.102,21.102,19.365,19.365,22.812,21.753,21.753,20.597,20.597,21.529,21.529,23.270,17.840,15.047,24.528,24.528,17.536,17.536,16.432,16.432,21.835,21.835,1a,7.042,1k,15.047
MZ327747,1,3.443,3.443,21.575,21.575,19.048,19.048,22.500,22.484,22.484,22.013,22.013,22.153,22.153,22.170,17.214,15.204,23.511,23.511,16.772,16.772,16.901,16.901,21.203,21.203,1a,3.443,1k,15.204
MZ327749,1,5.790,5.790,21.821,21.821,19.048,19.048,23.113,23.296,23.296,21.698,21.698,21.997,21.997,22.540,16.535,15.409,23.651,23.651,16.190,16.190,17.317,17.317,21.145,21.145,1a,5.790,1k,15.409
MZ327751,1,7.042,7.042,20.945,20.945,19.905,19.905,23.005,22.484,22.484,21.384,21.384,22.933,22.933,22.642,17.058,15.831,24.528,24.528,16.246,16.246,16.275,16.275,21.994,21.994,1a,7.042,1k,15.831
MZ327753,1,21.596,21.596,7.244,7.244,21.169,21.169,16.063,22.013,22.013,19.309,19.309,20.970,20.970,13.522,21.575,20.126,22.135,22.135,22.082,22.082,21.283,21.283,20.728,20.728,1b,7.244,1i,13.522
MZ327758,1,6.260,6.260,21.417,21.417,19.683,19.683,23.594,22.327,22.327,20.755,20.755,20.657,20.657,22.327,17.527,15.204,23.899,23.899,18.325,18.325,16.432,16.432,21.203,21.203,1a,6.260,1k,15.204
MZ327760,1,6.260,6.260,22.205,22.205,20.317,20.317,23.125,22.327,22.327,21.541,21.541,22.692,22.692,22.327,17.527,16.928,22.727,22.727,16.772,16.772,17.371,17.371,21.835,21.835,1a,6.260,1k,16.928
MZ327761,1,6.289,6.289,22.362,22.362,21.801,21.801,23.197,22.555,22.555,22.713,22.713,23.197,23.197,21.327,17.610,16.195,23.223,23.223,17.778,17.778,17.296,17.296,21.361,21.361,1a,6.289,1k,16.195
MZ327762,1,7.825,7.825,22.362,22.362,20.159,20.159,24.570,22.799,22.799,21.384,21.384,21.061,21.061,22.956,17.997,16.458,23.631,23.631,18.957,18.957,17.058,17.058,21.361,21.361,1a,7.825,1k,16.458
MZ327763,1,7.512,7.512,20.945,20.945,19.747,19.747,23.005,23.113,23.113,21.226,21.226,21.440,21.440,21.698,16.588,15.674,23.899,23.899,17.694,17.694,15.649,15.649,19.905,19.905,1a,7.512,1n,15.649
MZ327765,1,6.886,6.886,21.732,21.732,19.048,19.048,22.933,21.440,21.440,20.440,20.440,19.969,19.969,22.327,17.371,14.890,24.371,24.371,17.220,17.220,15.962,15.962,21.203,21.203,1a,6.886,1k,14.890
MZ327766,1,6.750,6.750,22.591,22.591,19.273,19.273,23.077,22.713,22.713,21.609,21.609,23.005,23.005,22.433,16.484,15.723,23.065,23.065,17.220,17.220,16.484,16.484,21.485,21.485,1a,6.750,1k,15.723
MZ327767,1,5.477,5.477,21.890,21.890,20.000,20.000,22.188,23.428,23.428,21.384,21.384,21.841,21.841,21.664,16.901,14.890,24.214,24.214,16.246,16.246,16.119,16.119,21.835,21.835,1a,5.477,1k,14.890
MZ327768,1,7.837,7.837,21.890,21.890,20.476,20.476,22.933,22.692,22.692,21.698,21.698,21.406,21.406,22.484,17.712,15.493,23.438,23.438,17.722,17.722,16.928,16.928,21.044,21.044,1a,7.837,1k,15.493
MZ327769,1,21.440,21.440,8.504,8.504,21.327,21.327,15.962,22.956,22.956,20.722,20.722,22.222,22.222,14.465,20.970,21.160,20.565,20.565,21.361,21.361,21.283,21.283,21.361,21.361,1b,8.504,1i,14.465
MZ327770,1,5.634,5.634,21.732,21.732,20.063,20.063,23.307,22.956,22.956,20.597,20.597,21.373,21.373,22.327,17.323,15.094,23.585,23.585,17.062,17.062,16.275,16.275,21.011,21.011,1a,5.634,1k,15.094
MZ327771,1,7.837,7.837,21.541,21.541,19.524,19.524,23.005,22.484,22.484,21.226,21.226,21.719,21.719,22.642,18.025,15.987,23.824,23.824,18.671,18.671,16.875,16.875,20.728,20.728,1a,7.837,1k,15.987
MZ327774,1,23.270,23.270,8.962,8.962,22.204,22.204,16.901,23.622,23.622,21.384,21.384,22.362,22.362,13.386,21.875,22.362,23.391,23.391,21.987,21.987,22.520,22.520,21.959,21.959,1b,8.962,1i,13.386
MZ327775,1,21.855,21.855,7.704,7.704,22.152,22.152,16.038,22.835,22.835,19.969,19.969,20.945,20.945,15.906,21.350,21.260,22.449,22.449,22.484,22.484,22.520,22.520,21.169,21.169,1b,7.704,1i,15.906
MZ327776,1,5.975,5.975,22.677,22.677,19.431,19.431,23.428,22.799,22.799,20.126,20.126,23.197,23.197,22.606,17.008,16.195,23.585,23.585,17.035,17.035,16.509,16.509,21.361,21.361,1a,5.975,1k,16.195
MZ327777,1,7.825,7.825,21.260,21.260,20.317,20.317,24.257,22.379,22.379,22.013,22.013,21.217,21.217,22.013,17.997,16.771,24.214,24.214,18.829,18.829,17.684,17.684,21.835,21.835,1a,7.825,1k,16.771
MZ327778,1,5.790,5.790,21.732,21.732,19.841,19.841,23.401,22.799,22.799,22.170,22.170,22.153,22.153,21.384,17.214,15.361,23.428,23.428,16.139,16.139,16.901,16.901,20.411,20.411,1a,5.790,1k,15.361
MZ327782,1,5.008,5.008,20.126,20.126,18.571,18.571,21.406,21.698,21.698,20.565,20.565,21.651,21.651,20.690,16.901,14.420,22.763,22.763,17.035,17.035,16.119,16.119,20.221,20.221,1a,5.008,1k,14.420
MZ327785,1,4.695,4.695,21.102,21.102,18.413,18.413,22.656,21.193,21.193,20.597,20.597,21.373,21.373,21.698,17.684,14.577,24.057,24.057,16.588,16.588,16.432,16.432,20.853,20.853,1a,4.695,1k,14.577
MZ327787,1,4.382,4.382,20.630,20.630,19.905,19.905,21.562,21.698,21.698,20.912,20.912,20.749,20.749,21.069,16.275,14.890,22.642,22.642,15.482,15.482,15.649,15.649,20.570,20.570,1a,4.382,1k,14.890
MZ327788,1,7.512,7.512,21.732,21.732,19.841,19.841,22.188,21.909,21.909,21.698,21.698,20.905,20.905,22.484,16.432,14.263,23.742,23.742,17.220,17.220,16.119,16.119,20.411,20.411,1a,7.512,1k,14.263
MZ327790,1,7.199,7.199,20.157,20.157,18.571,18.571,22.188,21.473,21.473,20.597,20.597,20.281,20.281,21.698,17.840,15.204,23.428,23.428,17.880,17.880,15.649,15.649,19.937,19.937,1a,7.199,1k,15.204
MZ327791,1,21.102,21.102,7.390,7.390,22.576,22.576,15.180,21.890,21.890,21.260,21.260,21.260,21.260,14.488,21.562,20.597,22.205,22.205,21.011,21.011,21.417,21.417,20.695,20.695,1b,7.390,1i,14.488
MZ327792,1,5.321,5.321,22.362,22.362,20.952,20.952,24.570,23.742,23.742,22.799,22.799,22.153,22.153,22.013,17.058,16.614,23.511,23.511,16.139,16.139,17.371,17.371,20.570,20.570,1a,5.321,1m,16.139
MZ327793,1,6.260,6.260,21.260,21.260,19.841,19.841,22.956,23.113,23.113,21.541,21.541,21.685,21.685,20.755,17.008,16.038,22.013,22.013,16.297,16.297,16.275,16.275,19.937,19.937,1a,6.260,1k,16.038
MZ327795,1,8.920,8.920,22.677,22.677,19.524,19.524,24.531,22.920,22.920,22.799,22.799,20.593,20.593,23.742,17.997,16.614,23.899,23.899,19.115,19.115,17.058,17.058,23.101,23.101,1a,8.920,1k,16.614
MZ327797,1,8.607,8.607,20.126,20.126,19.493,19.493,21.127,21.406,21.406,20.912,20.912,20.905,20.905,20.408,17.840,15.361,23.824,23.824,17.666,17.666,15.806,15.806,20.728,20.728,1a,8.607,1k,15.361
MZ327798,1,6.416,6.416,21.575,21.575,19.524,19.524,22.812,22.327,22.327,21.698,21.698,21.373,21.373,21.698,18.310,15.361,23.270,23.270,17.694,17.694,15.962,15.962,21.044,21.044,1a,6.416,1k,15.361
PQ320123,1,6.796,6.796,22.330,22.330,19.608,19.608,23.501,21.290,21.290,21.718,21.718,21.935,21.935,22.006,17.504,15.049,22.903,22.903,17.073,17.073,17.638,17.638,20.488,20.488,1a,6.796,1k,15.049
PQ320124,1,7.225,7.225,22.167,22.167,18.430,18.430,22.623,21.405,21.405,20.690,20.690,22.259,22.259,22.039,17.241,15.107,23.607,23.607,15.677,15.677,16.749,16.749,20.792,20.792,1a,7.225,1k,15.107
PQ320126,1,7.337,7.337,21.725,21.725,19.032,19.032,22.940,21.304,21.304,21.406,21.406,21.338,21.338,21.725,17.225,15.311,23.567,23.567,17.788,17.788,17.065,17.065,20.225,20.225,1a,7.337,1k,15.311
PQ320128,1,6.891,6.891,22.632,22.632,19.287,19.287,23.748,20.927,20.927,20.706,20.706,22.080,22.080,21.683,17.468,15.409,22.880,22.880,17.419,17.419,17.496,17.496,20.806,20.806,1a,6.891,1k,15.409
PQ320130,1,22.061,22.061,2.254,2.254,22.492,22.492,16.532,22.097,22.097,19.163,19.163,20.934,20.934,15.459,21.543,20.934,22.347,22.347,23.139,23.139,21.578,21.578,20.712,20.712,1b,2.254,1i,15.459
ON506742,1,9.983,9.983,21.687,21.687,20.572,20.572,24.613,23.752,23.752,19.691,19.691,22.642,22.642,23.408,20.310,17.384,25.301,25.301,20.000,20.000,18.933,18.933,22.837,22.837,1a,9.983,1k,17.384
ON506743,1,5.263,5.263,21.708,21.708,18.695,18.695,22.632,20.276,20.276,20.914,20.914,22.598,22.598,21.429,16.607,14.821,23.792,23.792,15.809,15.809,16.667,16.667,20.856,20.856,1a,5.263,1k,14.821
ON506744,1,6.667,6.667,22.162,22.162,19.022,19.022,21.763,21.257,21.257,19.112,19.112,21.996,21.996,20.901,17.509,15.108,22.924,22.924,17.754,17.754,17.658,17.658,21.053,21.053,1a,6.667,1k,15.108
ON506745,1,9.059,9.059,22.300,22.300,18.297,18.297,23.256,22.822,22.822,19.305,19.305,22.300,22.300,22.083,20.209,16.202,23.868,23.868,19.231,19.231,18.467,18.467,20.397,20.397,1a,9.059,1k,16.202
ON506746,1,23.745,23.745,8.818,8.818,23.301,23.301,16.409,23.359,23.359,19.427,19.427,20.697,20.697,14.258,21.622,20.849,23.596,23.596,24.719,24.719,21.042,21.042,23.396,23.396,1b,8.818,1i,14.258
ON506747,1,13.733,13.733,24.266,24.266,22.114,22.114,25.102,25.049,25.049,23.791,23.791,23.600,23.600,24.040,23.881,21.507,25.245,25.245,21.660,21.660,19.400,19.400,22.535,22.535,1a,13.733,1n,19.400
ON506748,1,8.388,8.388,22.405,22.405,20.000,20.000,23.558,22.570,22.570,21.911,21.911,21.746,21.746,23.229,18.122,16.283,24.138,24.138,17.715,17.715,17.270,17.270,21.689,21.689,1a,8.388,1k,16.283
ON506749,1,6.024,6.024,21.515,21.515,19.361,19.361,22.642,22.031,22.031,19.884,19.884,21.955,21.955,22.857,18.589,15.835,25.818,25.818,17.647,17.647,18.072,18.072,21.453,21.453,1a,6.024,1k,15.835
ON506750,1,9.002,9.002,22.150,22.150,20.000,20.000,23.491,21.301,21.301,21.768,21.768,20.915,20.915,22.675,17.512,15.057,23.895,23.895,17.734,17.734,17.840,17.840,21.475,21.475,1a,9.002,1k,15.057
ON506752,1,22.954,22.954,9.059,9.059,22.883,22.883,17.052,23.623,23.623,21.099,21.099,22.015,22.015,14.387,22.380,20.249,21.986,21.986,23.843,23.843,21.925,21.925,23.036,23.036,1b,9.059,1i,14.387
ON506753,1,9.892,9.892,22.122,22.122,19.850,19.850,23.381,21.042,21.042,20.270,20.270,21.455,21.455,21.364,20.578,16.547,23.745,23.745,20.074,20.074,18.525,18.525,20.194,20.194,1a,9.892,1k,16.547
ON506755,1,24.000,24.000,8.163,8.163,22.948,22.948,16.920,23.377,23.377,20.185,20.185,21.565,21.565,13.915,21.947,21.013,22.677,22.677,23.872,23.872,21.429,21.429,22.015,22.015,1b,8.163,1i,13.915
ON506756,1,7.882,7.882,21.018,21.018,19.835,19.835,22.862,22.496,22.496,21.511,21.511,21.931,21.931,22.697,18.062,14.778,23.520,23.520,17.957,17.957,17.241,17.241,21.122,21.122,1a,7.882,1k,14.778
ON506760,1,7.365,7.365,22.422,22.422,19.835,19.835,23.941,22.975,22.975,21.931,21.931,21.697,21.697,22.645,18.985,15.712,23.471,23.471,16.667,16.667,16.858,16.858,20.826,20.826,1a,7.365,1k,15.712
ON506761,1,7.826,7.826,22.261,22.261,19.684,19.684,23.183,22.957,22.957,18.533,18.533,21.217,21.217,23.130,17.565,15.652,24.348,24.348,17.801,17.801,16.984,16.984,21.503,21.503,1a,7.826,1k,15.652
ON506763,1,8.197,8.197,21.639,21.639,20.100,20.100,23.077,21.860,21.860,21.148,21.148,21.967,21.967,21.875,18.197,15.574,23.520,23.520,18.421,18.421,18.003,18.003,22.405,22.405,1a,8.197,1k,15.574
ON506764,1,24.382,24.382,10.544,10.544,23.627,23.627,16.639,23.461,23.461,22.862,22.862,22.241,22.241,16.445,22.570,22.241,22.720,22.720,24.274,24.274,24.342,24.342,22.591,22.591,1b,10.544,1d,16.639
ON506765,1,10.761,10.761,21.905,21.905,19.656,19.656,23.408,21.815,21.815,21.429,21.429,22.056,22.056,21.951,17.761,14.471,22.543,22.543,18.447,18.447,18.854,18.854,19.612,19.612,1a,10.761,1k,14.471
ON506766,1,7.237,7.237,18.889,18.889,17.321,17.321,20.220,21.319,21.319,19.780,19.780,18.381,18.381,19.079,17.325,13.596,20.220,20.220,16.476,16.476,17.802,17.802,19.027,19.027,1a,7.237,1k,13.596
ON506767,1,8.878,8.878,20.539,20.539,18.564,18.564,22.819,22.613,22.613,22.091,22.091,20.973,20.973,21.549,19.598,15.578,22.781,22.781,18.135,18.135,18.090,18.090,20.474,20.474,1a,8.878,1k,15.578
ON506768,1,8.481,8.481,21.731,21.731,18.566,18.566,23.173,22.143,22.143,21.607,21.607,20.996,20.996,20.893,18.905,15.714,23.571,23.571,17.851,17.851,18.551,18.551,21.137,21.137,1a,8.481,1k,15.714
ON506769,1,10.783,10.783,24.348,24.348,19.711,19.711,24.522,24.522,24.522,23.304,23.304,22.877,22.877,24.522,20.000,16.696,26.170,26.170,19.895,19.895,19.652,19.652,23.427,23.427,1a,10.783,1k,16.696
ON506770,1,9.656,9.656,21.931,21.931,20.034,20.034,23.895,22.314,22.314,22.095,22.095,22.095,22.095,22.314,19.476,16.367,24.132,24.132,18.550,18.550,18.331,18.331,21.488,21.488,1a,9.656,1k,16.367
ON506771,1,9.061,9.061,22.258,22.258,20.915,20.915,23.065,23.226,23.226,21.394,21.394,22.581,22.581,21.648,18.963,15.858,24.757,24.757,17.666,17.666,16.935,16.935,21.138,21.138,1a,9.061,1k,15.858
ON506772,1,8.576,8.576,21.359,21.359,18.960,18.960,22.853,22.006,22.006,21.718,21.718,21.774,21.774,21.359,18.421,15.534,24.473,24.473,18.303,18.303,17.258,17.258,21.138,21.138,1a,8.576,1k,15.534
ON506774,1,22.742,22.742,8.091,8.091,22.927,22.927,16.045,23.339,23.339,20.550,20.550,22.006,22.006,14.239,22.042,20.712,22.006,22.006,22.651,22.651,21.521,21.521,22.276,22.276,1b,8.091,1i,14.239
ON506775,1,9.213,9.213,22.391,22.391,19.440,19.440,23.569,22.998,22.998,22.428,22.428,21.870,21.870,22.391,19.430,15.745,24.958,24.958,18.276,18.276,18.364,18.364,20.812,20.812,1a,9.213,1k,15.745
ON506776,1,7.282,7.282,20.388,20.388,18.121,18.121,22.042,22.168,22.168,21.394,21.394,20.550,20.550,20.550,18.152,15.372,23.339,23.339,18.331,18.331,17.476,17.476,20.488,20.488,1a,7.282,1k,15.372
ON506777,1,7.346,7.346,20.707,20.707,18.550,18.550,21.380,21.513,21.513,21.248,21.248,20.632,20.632,20.370,17.362,15.025,22.871,22.871,18.090,18.090,16.861,16.861,20.981,20.981,1a,7.346,1k,15.025
ON506780,1,22.654,22.654,6.958,6.958,22.059,22.059,15.559,23.177,23.177,19.903,19.903,21.197,21.197,13.592,21.718,20.388,21.845,21.845,22.690,22.690,21.359,21.359,21.626,21.626,1b,6.958,1i,13.592
ON506783,1,8.734,8.734,20.463,20.463,19.031,19.031,23.529,21.293,21.293,18.919,18.919,20.641,20.641,21.236,17.500,15.000,21.815,21.815,18.851,18.851,17.469,17.469,19.434,19.434,1a,8.734,1k,15.000
ON506785,1,22.664,22.664,8.131,8.131,22.435,22.435,16.436,22.491,22.491,20.207,20.207,22.318,22.318,15.052,20.588,19.550,23.793,23.793,22.609,22.609,21.972,21.972,21.739,21.739,1b,8.131,1i,15.052
ON506786,1,9.558,9.558,22.801,22.801,19.238,19.238,24.150,20.463,20.463,20.270,20.270,22.540,22.540,22.801,18.068,15.564,24.194,24.194,19.424,19.424,18.295,18.295,22.022,22.022,1a,9.558,1k,15.564
ON506787,1,8.882,8.882,22.039,22.039,21.157,21.157,23.895,23.366,23.366,24.178,24.178,23.974,23.974,22.039,19.079,17.270,24.138,24.138,18.317,18.317,19.243,19.243,21.782,21.782,1a,8.882,1k,17.270
ON506788,1,8.143,8.143,20.195,20.195,18.914,18.914,22.476,21.138,21.138,20.684,20.684,19.968,19.968,21.661,17.427,14.658,23.779,23.779,17.676,17.676,16.612,16.612,20.622,20.622,1a,8.143,1k,14.658
ON506789,1,7.929,7.929,20.550,20.550,18.301,18.301,21.394,20.484,20.484,19.611,19.611,20.323,20.323,21.197,16.207,13.754,23.825,23.825,17.208,17.208,15.858,15.858,20.488,20.488,1a,7.929,1k,13.754
ON506791,1,22.837,22.837,7.118,7.118,22.862,22.862,16.146,23.826,23.826,20.277,20.277,22.222,22.222,13.391,21.181,19.826,20.934,20.934,23.130,23.130,21.528,21.528,21.503,21.503,1b,7.118,1i,13.391
ON506792,1,8.188,8.188,22.300,22.300,17.754,17.754,22.822,22.822,22.822,21.503,21.503,21.181,21.181,22.203,18.641,15.331,24.132,24.132,17.986,17.986,17.882,17.882,21.090,21.090,1a,8.188,1k,15.331
