Accession,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
DQ164700,5,9.881,22.358,5a,9.881,5b,22.358
DQ164701,5,8.235,21.285,5a,8.235,5b,21.285
DQ164702,5,6.667,20.482,5a,6.667,5b,20.482
DQ164703,5,7.059,22.088,5a,7.059,5b,22.088
DQ164704,5,5.882,22.892,5a,5.882,5b,22.892
DQ164705,5,7.843,21.687,5a,7.843,5b,21.687
DQ164706,5,7.843,22.088,5a,7.843,5b,22.088
DQ164707,5,7.059,22.088,5a,7.059,5b,22.088
DQ164708,5,8.661,23.228,5a,8.661,5b,23.228
DQ164709,5,4.706,22.892,5a,4.706,5b,22.892
DQ164710,5,7.087,22.358,5a,7.087,5b,22.358
DQ164711,5,9.843,25.197,5a,9.843,5b,25.197
DQ164712,5,7.451,23.293,5a,7.451,5b,23.293
DQ164713,5,9.804,24.096,5a,9.804,5b,24.096
DQ164714,5,6.275,23.228,5a,6.275,5b,23.228
DQ164715,5,5.882,23.293,5a,5.882,5b,23.293
DQ164716,5,11.024,21.285,5a,11.024,5b,21.285
DQ164718,5,7.059,22.490,5a,7.059,5b,22.490
DQ164719,5,8.235,22.892,5a,8.235,5b,22.892
DQ164720,5,9.020,22.892,5a,9.020,5b,22.892
DQ164721,5,7.843,22.490,5a,7.843,5b,22.490
DQ164722,5,6.275,23.293,5a,6.275,5b,23.293
DQ164723,5,8.661,23.293,5a,8.661,5b,23.293
DQ164724,5,7.059,22.892,5a,7.059,5b,22.892
DQ164725,5,7.059,22.088,5a,7.059,5b,22.088
DQ164726,5,7.059,20.482,5a,7.059,5b,20.482
DQ164727,5,5.882,22.892,5a,5.882,5b,22.892
DQ164728,5,7.451,20.080,5a,7.451,5b,20.080
DQ164729,5,7.143,21.774,5a,7.143,5b,21.774
DQ164730,5,6.299,20.482,5a,6.299,5b,20.482
DQ164731,5,9.804,22.490,5a,9.804,5b,22.490
DQ164732,5,6.299,20.884,5a,6.299,5b,20.884
DQ164733,5,9.804,22.088,5a,9.804,5b,22.088
DQ164734,5,5.882,21.285,5a,5.882,5b,21.285
DQ164735,5,9.412,22.835,5a,9.412,5b,22.835
DQ164736,5,7.480,21.951,5a,7.480,5b,21.951
DQ164737,5,7.874,23.622,5a,7.874,5b,23.622
DQ164738,5,8.235,23.293,5a,8.235,5b,23.293
DQ164739,5,6.275,21.285,5a,6.275,5b,21.285
DQ164740,5,8.627,22.088,5a,8.627,5b,22.088
DQ164741,5,7.087,23.293,5a,7.087,5b,23.293
DQ164742,5,7.451,22.490,5a,7.451,5b,22.490
DQ164743,5,7.059,21.654,5a,7.059,5b,21.654
DQ164744,5,7.631,22.041,5a,7.631,5b,22.041
DQ164745,5,6.275,20.482,5a,6.275,5b,20.482
DQ164746,5,7.843,22.892,5a,7.843,5b,22.892
DQ164747,5,5.490,23.293,5a,5.490,5b,23.293
EF026073,5,21.865,23.734,5a,21.865,5b,23.734
EF420134,5,26.415,26.887,5a,26.415,5b,26.887
Y13184,5,8.663,22.511,5a,8.663,5b,22.511
AF064490,5,0.000,21.410,5a,0.000,5b,21.410
AM408911,5,21.865,23.734,5a,21.865,5b,23.734
GU945429,5,9.315,23.726,5a,9.315,5b,23.726
GU945432,5,9.315,23.550,5a,9.315,5b,23.550
HQ623404,5,6.998,25.277,5a,6.998,5b,25.277
HQ623405,5,7.919,23.801,5a,7.919,5b,23.801
HQ623406,5,8.672,24.908,5a,8.672,5b,24.908
HQ623407,5,7.735,25.092,5a,7.735,5b,25.092
HQ623408,5,8.840,24.723,5a,8.840,5b,24.723
HQ623409,5,8.287,25.461,5a,8.287,5b,25.461
HQ623410,5,7.735,25.092,5a,7.735,5b,25.092
HQ623411,5,7.735,25.461,5a,7.735,5b,25.461
HQ623412,5,8.471,25.646,5a,8.471,5b,25.646
HQ623413,5,9.945,24.354,5a,9.945,5b,24.354
HQ623414,5,7.735,22.694,5a,7.735,5b,22.694
HQ623415,5,7.735,24.723,5a,7.735,5b,24.723
HQ623416,5,8.103,23.247,5a,8.103,5b,23.247
HQ623417,5,6.998,25.092,5a,6.998,5b,25.092
HQ623418,5,7.735,23.801,5a,7.735,5b,23.801
HQ623419,5,7.735,23.985,5a,7.735,5b,23.985
HQ623420,5,6.814,24.354,5a,6.814,5b,24.354
HQ623421,5,7.366,24.170,5a,7.366,5b,24.170
HQ623422,5,8.287,24.170,5a,8.287,5b,24.170
HQ623423,5,7.366,23.985,5a,7.366,5b,23.985
HQ623424,5,6.446,25.092,5a,6.446,5b,25.092
HQ623425,5,8.103,23.616,5a,8.103,5b,23.616
HQ623426,5,8.103,25.461,5a,8.103,5b,25.461
PX387001,5,8.822,22.417,5a,8.822,5b,22.417
PX387002,5,8.347,22.410,5a,8.347,5b,22.410
FN553067,5,5.490,22.835,5a,5.490,5b,22.835
FN553068,5,5.512,24.016,5a,5.512,5b,24.016
FN553069,5,6.693,22.490,5a,6.693,5b,22.490
FN553070,5,5.512,23.695,5a,5.512,5b,23.695
FN553071,5,7.059,22.490,5a,7.059,5b,22.490
FN553072,5,5.098,24.498,5a,5.098,5b,24.498
FN553073,5,10.236,,5a,10.236,,
FN553074,5,5.490,23.293,5a,5.490,5b,23.293
FN553075,5,7.059,23.293,5a,7.059,5b,23.293
FN553076,5,5.512,22.892,5a,5.512,5b,22.892
FN553077,5,7.480,23.695,5a,7.480,5b,23.695
FN553078,5,6.275,23.695,5a,6.275,5b,23.695
FN553079,5,4.706,22.490,5a,4.706,5b,22.490
FN553080,5,8.627,23.246,5a,8.627,5b,23.246
FN553081,5,6.275,22.088,5a,6.275,5b,22.088
FN553082,5,5.882,22.892,5a,5.882,5b,22.892
FN553083,5,5.098,22.892,5a,5.098,5b,22.892
FN553084,5,4.706,22.892,5a,4.706,5b,22.892
FN553085,5,5.882,22.892,5a,5.882,5b,22.892
FN553086,5,6.667,23.228,5a,6.667,5b,23.228
FN553087,5,5.882,23.293,5a,5.882,5b,23.293
FN553088,5,7.451,21.687,5a,7.451,5b,21.687
FN553089,5,5.098,22.490,5a,5.098,5b,22.490
FN553090,5,5.512,23.293,5a,5.512,5b,23.293
FN553091,5,6.667,25.301,5a,6.667,5b,25.301
FN553092,5,7.451,23.695,5a,7.451,5b,23.695
FN553093,5,4.706,23.695,5a,4.706,5b,23.695
FN553094,5,6.667,21.687,5a,6.667,5b,21.687
FN553095,5,6.667,23.622,5a,6.667,5b,23.622
FN553096,5,6.299,21.687,5a,6.299,5b,21.687
FN553097,5,6.299,23.695,5a,6.299,5b,23.695
FN553098,5,5.490,23.293,5a,5.490,5b,23.293
FN553099,5,5.098,22.490,5a,5.098,5b,22.490
FN553100,5,6.299,23.695,5a,6.299,5b,23.695
FN553101,5,4.314,23.695,5a,4.314,5b,23.695
FN553102,5,5.490,23.695,5a,5.490,5b,23.695
FN553103,5,5.882,22.088,5a,5.882,5b,22.088
FN553104,5,5.906,22.088,5a,5.906,5b,22.088
FN553105,5,5.098,22.892,5a,5.098,5b,22.892
FN553106,5,5.512,23.293,5a,5.512,5b,23.293
FN553107,5,6.275,23.228,5a,6.275,5b,23.228
FN553108,5,5.882,21.654,5a,5.882,5b,21.654
FN553109,5,5.098,22.892,5a,5.098,5b,22.892
FN553110,5,5.512,22.490,5a,5.512,5b,22.490
FN553111,5,6.693,22.088,5a,6.693,5b,22.088
FN553112,5,6.693,23.695,5a,6.693,5b,23.695
FN553113,5,7.843,22.892,5a,7.843,5b,22.892
FN553114,5,6.299,24.096,5a,6.299,5b,24.096
FN553115,5,5.512,21.687,5a,5.512,5b,21.687
FN553116,5,3.922,23.293,5a,3.922,5b,23.293
FN553117,5,6.275,21.687,5a,6.275,5b,21.687
FN553118,5,4.706,23.293,5a,4.706,5b,23.293
FN553119,5,6.693,24.096,5a,6.693,5b,24.096
FN553120,5,5.512,22.892,5a,5.512,5b,22.892
FN553121,5,5.512,21.654,5a,5.512,5b,21.654
FN553122,5,5.098,22.892,5a,5.098,5b,22.892
FN553123,5,6.693,21.687,5a,6.693,5b,21.687
FN553124,5,7.874,22.892,5a,7.874,5b,22.892
FN553125,5,6.299,21.285,5a,6.299,5b,21.285
FN553126,5,6.275,22.088,5a,6.275,5b,22.088
FN553127,5,7.059,23.695,5a,7.059,5b,23.695
FN553128,5,4.706,22.490,5a,4.706,5b,22.490
FN553129,5,5.882,23.695,5a,5.882,5b,23.695
FN553130,5,4.706,22.490,5a,4.706,5b,22.490
FN553131,5,7.480,22.088,5a,7.480,5b,22.088
FN553132,5,5.098,22.490,5a,5.098,5b,22.490
FN553133,5,5.098,24.096,5a,5.098,5b,24.096
FN553134,5,3.529,22.892,5a,3.529,5b,22.892
FN553135,5,4.706,21.687,5a,4.706,5b,21.687
FN553136,5,7.451,24.096,5a,7.451,5b,24.096
FN553137,5,3.922,23.293,5a,3.922,5b,23.293
FN553138,5,5.882,23.293,5a,5.882,5b,23.293
FN553139,5,6.693,23.622,5a,6.693,5b,23.622
FN553140,5,6.275,22.088,5a,6.275,5b,22.088
FN553141,5,4.314,22.892,5a,4.314,5b,22.892
FN553142,5,5.512,23.293,5a,5.512,5b,23.293
FN553143,5,4.314,21.285,5a,4.314,5b,21.285
FN553144,5,7.480,22.490,5a,7.480,5b,22.490
FN553145,5,7.874,22.892,5a,7.874,5b,22.892
FN553146,5,6.693,21.260,5a,6.693,5b,21.260
FN553147,5,6.275,22.088,5a,6.275,5b,22.088
FN553148,5,5.098,22.892,5a,5.098,5b,22.892
FN553149,5,6.275,24.900,5a,6.275,5b,24.900
FN553150,5,4.706,21.687,5a,4.706,5b,21.687
FN553151,5,7.874,21.687,5a,7.874,5b,21.687
FN553152,5,5.490,24.096,5a,5.490,5b,24.096
FN553153,5,3.922,22.490,5a,3.922,5b,22.490
FN553154,5,5.906,23.293,5a,5.906,5b,23.293
FN553155,5,7.843,24.498,5a,7.843,5b,24.498
FN553156,5,6.667,22.047,5a,6.667,5b,22.047
FN553157,5,5.882,22.490,5a,5.882,5b,22.490
FN553158,5,7.087,24.096,5a,7.087,5b,24.096
FN553159,5,5.490,24.096,5a,5.490,5b,24.096
FN553160,5,7.059,22.088,5a,7.059,5b,22.088
FN553161,5,6.275,24.498,5a,6.275,5b,24.498
FN553162,5,7.059,22.441,5a,7.059,5b,22.441
FN553163,5,8.268,22.358,5a,8.268,5b,22.358
FN553164,5,8.268,23.228,5a,8.268,5b,23.228
FN553165,5,6.667,21.687,5a,6.667,5b,21.687
FN553166,5,10.980,22.835,5a,10.980,5b,22.835
FN553167,5,8.268,23.293,5a,8.268,5b,23.293
FN553168,5,7.059,22.088,5a,7.059,5b,22.088
FN553169,5,9.020,22.835,5a,9.020,5b,22.835
FN553170,5,6.667,24.096,5a,6.667,5b,24.096
FN553171,5,11.373,24.803,5a,11.373,5b,24.803
FN553172,5,7.451,23.228,5a,7.451,5b,23.228
FN553173,5,10.196,23.293,5a,10.196,5b,23.293
FN553174,5,7.874,24.096,5a,7.874,5b,24.096
FN553175,5,6.667,22.892,5a,6.667,5b,22.892
FN553176,5,10.757,24.206,5a,10.757,5b,24.206
FN553177,5,12.549,25.984,5a,12.549,5b,25.984
FN553178,5,6.275,23.695,5a,6.275,5b,23.695
FN553179,5,11.765,24.803,5a,11.765,5b,24.803
FN553180,5,7.451,21.687,5a,7.451,5b,21.687
FN553181,5,6.667,23.293,5a,6.667,5b,23.293
FN553182,5,8.268,20.884,5a,8.268,5b,20.884
FN553183,5,4.706,21.260,5a,4.706,5b,21.260
FN553184,5,7.059,21.687,5a,7.059,5b,21.687
FN553185,5,6.275,22.892,5a,6.275,5b,22.892
FN553186,5,11.811,22.892,5a,11.811,5b,22.892
FN553187,5,7.480,23.293,5a,7.480,5b,23.293
FN553188,5,8.627,23.293,5a,8.627,5b,23.293
FN553189,5,9.055,21.654,5a,9.055,5b,21.654
FN553190,5,5.882,22.490,5a,5.882,5b,22.490
FN553191,5,5.882,22.892,5a,5.882,5b,22.892
FN553192,5,5.118,23.293,5a,5.118,5b,23.293
FN553193,5,7.843,23.228,5a,7.843,5b,23.228
FN553194,5,5.098,20.884,5a,5.098,5b,20.884
FN553195,5,7.059,22.088,5a,7.059,5b,22.088
FN553196,5,11.373,25.197,5a,11.373,5b,25.197
FN553197,5,6.275,22.088,5a,6.275,5b,22.088
FN553198,5,6.667,21.654,5a,6.667,5b,21.654
FN553199,5,5.490,22.892,5a,5.490,5b,22.892
FN553200,5,7.087,24.409,5a,7.087,5b,24.409
FN553201,5,5.882,21.260,5a,5.882,5b,21.260
FN553202,5,7.843,23.622,5a,7.843,5b,23.622
FN553203,5,6.693,23.695,5a,6.693,5b,23.695
FN553204,5,6.667,21.285,5a,6.667,5b,21.285
FN553205,5,5.490,22.892,5a,5.490,5b,22.892
FN553206,5,8.268,22.088,5a,8.268,5b,22.088
FN553207,5,8.235,23.293,5a,8.235,5b,23.293
FN553208,5,8.627,22.892,5a,8.627,5b,22.892
FN553209,5,8.235,22.892,5a,8.235,5b,22.892
FN553210,5,10.588,23.228,5a,10.588,5b,23.228
FN553211,5,7.059,22.892,5a,7.059,5b,22.892
FN553212,5,7.480,21.285,5a,7.480,5b,21.285
FN553213,5,5.490,22.490,5a,5.490,5b,22.490
FN553214,5,6.275,22.490,5a,6.275,5b,22.490
FN553215,5,8.627,20.968,5a,8.627,5b,20.968
FN553216,5,7.843,22.490,5a,7.843,5b,22.490
FN553217,5,5.098,22.088,5a,5.098,5b,22.088
FN553218,5,5.534,22.764,5a,5.534,5b,22.764
FN553219,5,6.667,22.490,5a,6.667,5b,22.490
FN553220,5,5.882,21.285,5a,5.882,5b,21.285
FN553221,5,5.490,20.482,5a,5.490,5b,20.482
FN553222,5,8.235,22.490,5a,8.235,5b,22.490
FN553223,5,7.059,22.835,5a,7.059,5b,22.835
FN553224,5,7.480,23.293,5a,7.480,5b,23.293
FN553225,5,7.451,22.892,5a,7.451,5b,22.892
FN553226,5,9.412,24.096,5a,9.412,5b,24.096
FN553227,5,7.843,22.490,5a,7.843,5b,22.490
FN553228,5,7.451,19.679,5a,7.451,5b,19.679
FN553229,5,9.020,24.096,5a,9.020,5b,24.096
FN553230,5,8.235,22.088,5a,8.235,5b,22.088
FN553231,5,8.268,24.096,5a,8.268,5b,24.096
FN553232,5,6.426,22.177,5a,6.426,5b,22.177
FN553233,5,8.235,21.285,5a,8.235,5b,21.285
FN553234,5,6.299,22.490,5a,6.299,5b,22.490
FN553235,5,6.275,23.293,5a,6.275,5b,23.293
FN553236,5,6.275,23.695,5a,6.275,5b,23.695
FN553237,5,8.235,24.498,5a,8.235,5b,24.498
FN553238,5,8.268,20.472,5a,8.268,5b,20.472
FN553239,5,7.874,22.088,5a,7.874,5b,22.088
FN553240,5,4.724,22.088,5a,4.724,5b,22.088
FN553241,5,5.882,21.285,5a,5.882,5b,21.285
FN553242,5,8.268,21.260,5a,8.268,5b,21.260
FN553243,5,7.843,23.695,5a,7.843,5b,23.695
FN553244,5,7.451,22.835,5a,7.451,5b,22.835
FN553245,5,7.843,22.441,5a,7.843,5b,22.441
FN553246,5,5.882,20.884,5a,5.882,5b,20.884
FN553247,5,5.512,22.892,5a,5.512,5b,22.892
FN553248,5,7.843,21.371,5a,7.843,5b,21.371
FN553249,5,4.724,23.293,5a,4.724,5b,23.293
FN553250,5,7.059,21.260,5a,7.059,5b,21.260
FN553251,5,9.804,22.490,5a,9.804,5b,22.490
FN553252,5,5.098,23.293,5a,5.098,5b,23.293
FN553253,5,6.275,23.228,5a,6.275,5b,23.228
FN553254,5,7.843,22.892,5a,7.843,5b,22.892
FN553255,5,5.882,23.387,5a,5.882,5b,23.387
FN553256,5,9.055,22.088,5a,9.055,5b,22.088
FN553257,5,5.490,22.892,5a,5.490,5b,22.892
FN553258,5,10.588,20.866,5a,10.588,5b,20.866
FN553259,5,9.055,21.687,5a,9.055,5b,21.687
FN553260,5,6.667,24.498,5a,6.667,5b,24.498
FN553261,5,8.627,22.490,5a,8.627,5b,22.490
FN553262,5,8.235,20.080,5a,8.235,5b,20.080
FN553263,5,11.417,23.695,5a,11.417,5b,23.695
FN553264,5,6.299,23.171,5a,6.299,5b,23.171
FN553265,5,7.451,25.403,5a,7.451,5b,25.403
FN553266,5,7.059,21.687,5a,7.059,5b,21.687
FN553267,5,4.706,22.088,5a,4.706,5b,22.088
FN553268,5,5.882,23.293,5a,5.882,5b,23.293
FN553269,5,8.268,23.293,5a,8.268,5b,23.293
FN553270,5,7.087,21.285,5a,7.087,5b,21.285
FN553271,5,6.275,23.293,5a,6.275,5b,23.293
FN553272,5,9.524,25.301,5a,9.524,5b,25.301
FN553273,5,8.661,25.301,5a,8.661,5b,25.301
FN553274,5,6.667,23.293,5a,6.667,5b,23.293
FN553275,5,8.627,24.016,5a,8.627,5b,24.016
FN553276,5,5.490,22.892,5a,5.490,5b,22.892
FN553277,5,9.449,21.514,5a,9.449,5b,21.514
FN553278,5,6.275,22.892,5a,6.275,5b,22.892
FN553279,5,5.882,23.293,5a,5.882,5b,23.293
FN553280,5,6.693,22.490,5a,6.693,5b,22.490
FN553281,5,7.087,22.490,5a,7.087,5b,22.490
FN553282,5,8.627,23.293,5a,8.627,5b,23.293
GU085487,5,9.773,22.516,5a,9.773,5b,22.516
JX571032,5,8.333,21.622,5a,8.333,5b,21.622
JX571033,5,5.702,24.324,5a,5.702,5b,24.324
JX571034,5,8.772,23.423,5a,8.772,5b,23.423
JX571035,5,5.702,20.721,5a,5.702,5b,20.721
JX571036,5,8.333,21.171,5a,8.333,5b,21.171
JX571037,5,9.649,21.586,5a,9.649,5b,21.586
JX571038,5,7.456,22.467,5a,7.456,5b,22.467
JX571039,5,9.649,21.586,5a,9.649,5b,21.586
KC767829,5,8.135,21.546,5a,8.135,5b,21.546
KC767830,5,7.294,21.451,5a,7.294,5b,21.451
KC767831,5,7.977,22.629,5a,7.977,5b,22.629
KC767832,5,7.713,22.523,5a,7.713,5b,22.523
KC767833,5,8.558,22.146,5a,8.558,5b,22.146
KC767834,5,7.554,21.940,5a,7.554,5b,21.940
KC844046,5,8.188,22.674,5a,8.188,5b,22.674
KF373567,5,7.713,22.576,5a,7.713,5b,22.576
KJ925146,5,7.611,22.234,5a,7.611,5b,22.234
KJ925147,5,6.815,22.287,5a,6.815,5b,22.287
KJ925148,5,7.343,22.417,5a,7.343,5b,22.417
KJ925149,5,8.452,22.258,5a,8.452,5b,22.258
KM587626,5,8.399,22.311,5a,8.399,5b,22.311
KP162506,5,8.870,24.064,5a,8.870,5b,24.064
KP163120,5,8.348,24.777,5a,8.348,5b,24.777
KP163138,5,9.347,23.886,5a,9.347,5b,23.886
KP163231,5,9.043,23.886,5a,9.043,5b,23.886
L29579,5,8.267,21.537,5a,8.267,5b,21.537
KT595242,5,21.859,23.423,5a,21.859,5b,23.423
KU861171,5,28.408,29.043,5a,28.408,5b,29.043
KU871279,5,8.241,22.393,5a,8.241,5b,22.393
KU871280,5,8.082,22.499,5a,8.082,5b,22.499
KU871281,5,8.558,21.905,5a,8.558,5b,21.905
KU871282,5,8.558,22.011,5a,8.558,5b,22.011
KX107848,5,7.660,22.381,5a,7.660,5b,22.381
KX107849,5,8.347,23.069,5a,8.347,5b,23.069
KX107850,5,9.033,23.900,5a,9.033,5b,23.900
KX107851,5,7.924,22.999,5a,7.924,5b,22.999
KX107855,5,8.399,22.311,5a,8.399,5b,22.311
KX107859,5,11.252,24.604,5a,11.252,5b,24.604
