Accession,AssignedGenotype,Subtype3aDistance,Subtype3bDistance,Subtype3dDistance,Subtype3eDistance,Subtype3gDistance,Subtype3gDistance,Subtype3hDistance,Subtype3iDistance,Subtype3iDistance,Subtype3kDistance,Subtype3kDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MZ327772,3,9.233,27.888,21.497,20.197,25.592,25.592,28.250,25.079,25.079,27.023,27.023,3a,9.233,3e,20.197
MZ327773,3,6.750,28.019,21.531,19.180,23.028,23.028,28.084,24.406,24.406,26.592,26.592,3a,6.750,3e,19.180
MZ327779,3,9.233,27.138,21.850,20.096,23.659,23.659,29.058,25.316,25.316,25.202,25.202,3a,9.233,3e,20.096
MZ327780,3,8.920,28.336,20.096,19.646,23.697,23.697,28.734,24.525,24.525,26.171,26.171,3a,8.920,3e,19.646
MZ327781,3,8.451,28.180,19.777,19.163,24.487,24.487,28.409,24.603,24.603,27.464,27.464,3a,8.451,3e,19.163
MZ327783,3,9.077,27.138,21.531,19.677,24.803,24.803,28.341,25.000,25.000,25.687,25.687,3a,9.077,3e,19.677
MZ327786,3,8.451,27.063,21.372,18.519,24.763,24.763,27.922,25.158,25.158,27.141,27.141,3a,8.451,3e,18.519
MZ327789,3,8.294,29.392,22.169,20.484,25.394,25.394,29.708,25.556,25.556,27.948,27.948,3a,8.294,3e,20.484
MZ327794,3,6.886,28.407,23.285,20.934,23.502,23.502,28.084,26.645,26.645,27.302,27.302,3a,6.886,3e,20.934
MZ327796,3,7.199,28.180,21.053,19.132,22.275,22.275,28.708,24.209,24.209,25.949,25.949,3a,7.199,3e,19.132
MZ327799,3,9.233,27.127,22.169,21.578,25.750,25.750,27.760,26.266,26.266,26.892,26.892,3a,9.233,3e,21.578
PQ320121,3,30.132,0.000,23.746,26.711,20.861,20.861,30.450,21.631,21.631,25.424,25.424,3b,0.000,3g,20.861
PQ320122,3,8.300,26.113,19.798,17.828,22.581,22.581,27.811,24.848,24.848,27.677,27.677,3a,8.300,3e,17.828
PQ320125,3,30.000,0.000,23.667,26.777,20.724,20.724,30.450,21.417,21.417,25.253,25.253,3b,0.000,3g,20.724
PQ320127,3,29.293,0.000,19.504,21.708,17.172,17.172,27.206,18.685,18.685,21.908,21.908,3b,0.000,3g,17.172
PQ320129,3,29.853,0.000,23.708,26.690,20.282,20.282,30.000,21.770,21.770,24.178,24.178,3b,0.000,3g,20.282
ON506751,3,9.341,26.667,20.709,20.644,22.161,22.161,28.682,26.345,26.345,28.519,28.519,3a,9.341,3d,20.709
ON506758,3,9.949,26.690,18.435,20.419,24.957,24.957,28.647,25.694,25.694,28.114,28.114,3a,9.949,3d,18.435
ON506762,3,8.819,26.422,22.203,20.914,23.143,23.143,29.623,26.846,26.846,26.587,26.587,3a,8.819,3e,20.914
ON506773,3,8.606,27.778,21.329,19.755,23.408,23.408,30.070,26.783,26.783,27.622,27.622,3a,8.606,3e,19.755
ON506779,3,8.581,28.619,21.106,20.534,24.382,24.382,28.952,27.167,27.167,27.880,27.880,3a,8.581,3e,20.534
ON506782,3,9.887,28.425,21.546,21.217,25.700,25.700,28.523,27.333,27.333,27.055,27.055,3a,9.887,3e,21.217
ON506784,3,8.086,26.578,20.101,20.367,23.229,23.229,27.787,25.167,25.167,26.000,26.000,3a,8.086,3d,20.101
ON506790,3,8.746,26.962,21.441,22.037,24.150,24.150,28.983,26.833,26.833,26.780,26.780,3a,8.746,3d,21.441
ON506794,3,10.726,26.333,20.938,20.701,23.927,23.927,30.283,25.333,25.333,27.045,27.045,3a,10.726,3e,20.701
ON506798,3,7.317,28.044,21.239,20.426,22.783,22.783,29.840,25.352,25.352,26.726,26.726,3a,7.317,3e,20.426
ON506800,3,9.406,27.759,21.070,21.703,21.993,21.993,28.952,25.628,25.628,28.476,28.476,3a,9.406,3d,21.070
ON506805,3,7.756,27.891,20.938,20.534,24.876,24.876,28.983,26.500,26.500,27.551,27.551,3a,7.756,3e,20.534
ON506810,3,9.076,27.787,20.938,21.354,22.260,22.260,29.118,24.167,24.167,27.032,27.032,3a,9.076,3d,20.938
ON506813,3,8.914,27.304,21.875,20.638,24.587,24.587,28.643,26.000,26.000,26.667,26.667,3a,8.914,3e,20.638
ON506815,3,8.746,28.840,22.948,20.033,24.217,24.217,29.661,27.000,27.000,28.041,28.041,3a,8.746,3e,20.033
ON506822,3,6.806,25.967,20.354,18.828,22.339,22.339,28.901,24.912,24.912,27.660,27.660,3a,6.806,3e,18.828
ON506825,3,8.266,27.797,21.546,21.053,23.597,23.597,28.289,25.333,25.333,25.763,25.763,3a,8.266,3e,21.053
PQ365498,3,8.333,26.206,19.617,19.355,22.785,22.785,28.230,25.118,25.118,27.332,27.332,3a,8.333,3d,19.617
PQ365501,3,9.077,28.180,22.329,20.773,24.921,24.921,29.187,26.266,26.266,28.135,28.135,3a,9.077,3e,20.773
PQ365502,3,7.512,28.289,22.488,21.578,23.817,23.817,29.355,26.032,26.032,27.670,27.670,3a,7.512,3e,21.578
PQ365504,3,26.494,23.151,26.156,25.604,22.576,22.576,30.259,6.646,6.646,25.397,25.397,3i,6.646,3g,22.576
PQ365505,3,27.044,14.171,24.144,25.570,21.664,21.664,29.027,20.447,20.447,27.124,27.124,3b,14.171,3i,20.447
PQ365506,3,12.050,28.457,22.807,21.900,24.961,24.961,30.463,26.582,26.582,29.841,29.841,3a,12.050,3e,21.900
PQ365508,3,9.390,28.783,21.850,20.129,24.842,24.842,28.549,26.899,26.899,26.485,26.485,3a,9.390,3e,20.129
PQ365509,3,9.419,27.858,19.904,19.807,24.645,24.645,28.344,25.868,25.868,26.667,26.667,3a,9.419,3d,19.904
PQ365511,3,9.077,27.375,21.656,19.194,23.539,23.539,28.662,26.540,26.540,27.520,27.520,3a,9.077,3e,19.194
PQ365512,3,8.451,26.570,21.053,19.646,23.659,23.659,29.346,25.316,25.316,26.763,26.763,3a,8.451,3e,19.646
PQ365513,3,20.344,25.443,18.941,21.417,22.907,22.907,30.177,23.855,23.855,25.765,25.765,3d,18.941,3a,20.344
PQ365514,3,7.668,28.595,21.338,19.968,24.252,24.252,28.662,25.316,25.316,27.100,27.100,3a,7.668,3e,19.968
PQ365515,3,9.859,27.769,20.893,20.451,25.197,25.197,29.984,25.949,25.949,27.532,27.532,3a,9.859,3d,20.893
PQ365517,3,11.737,26.853,21.372,21.639,23.975,23.975,29.383,24.763,24.763,26.494,26.494,3a,11.737,3d,21.372
PQ365518,3,8.920,28.824,21.691,20.806,24.132,24.132,30.463,25.633,25.633,27.215,27.215,3a,8.920,3e,20.806
PQ365519,3,7.837,26.164,19.936,19.807,23.539,23.539,27.751,24.013,24.013,27.375,27.375,3a,7.837,3d,19.936
PQ365520,3,8.607,27.375,21.725,20.934,23.161,23.161,28.914,25.791,25.791,28.526,28.526,3a,8.607,3e,20.934
PQ365521,3,7.668,27.858,21.338,19.807,24.606,24.606,29.459,25.000,25.000,27.143,27.143,3a,7.668,3e,19.807
PQ365522,3,8.920,27.258,21.372,20.451,24.209,24.209,29.114,24.684,24.684,27.787,27.787,3a,8.920,3e,20.451
PQ365523,3,8.920,27.858,21.053,19.968,24.487,24.487,29.506,24.290,24.290,28.254,28.254,3a,8.920,3e,19.968
PQ365524,3,22.799,25.944,20.607,10.628,21.661,21.661,28.013,22.115,22.115,24.796,24.796,3e,10.628,3d,20.607
PQ365525,3,9.703,28.361,21.850,19.968,25.079,25.079,30.303,26.349,26.349,27.769,27.769,3a,9.703,3e,19.968
PQ365526,3,8.764,26.892,20.541,21.095,24.171,24.171,28.503,25.475,25.475,26.856,26.856,3a,8.764,3d,20.541
PQ365528,3,8.920,27.705,19.777,20.000,23.028,23.028,28.070,25.556,25.556,27.214,27.214,3a,8.920,3d,19.777
PQ365529,3,7.355,27.375,20.701,19.485,24.132,24.132,28.822,24.525,24.525,26.825,26.825,3a,7.355,3e,19.485
PQ365530,3,9.390,26.765,19.298,19.807,23.855,23.855,27.911,26.424,26.424,27.083,27.083,3a,9.390,3d,19.298
PQ365531,3,7.981,26.045,21.531,19.163,22.591,22.591,28.868,24.171,24.171,26.899,26.899,3a,7.981,3e,19.163
PQ365532,3,8.451,28.180,21.531,19.163,24.171,24.171,27.911,24.209,24.209,26.424,26.424,3a,8.451,3e,19.163
PQ365534,3,11.496,27.214,21.338,20.000,24.204,24.204,28.685,25.000,25.000,26.582,26.582,3a,11.496,3e,20.000
PQ365535,3,10.016,29.032,21.975,19.968,24.413,24.413,28.662,25.633,25.633,25.832,25.832,3a,10.016,3e,19.968
PQ365536,3,9.091,27.375,19.617,20.290,23.697,23.697,28.341,24.842,24.842,27.670,27.670,3a,9.091,3d,19.617
PQ365537,3,8.764,27.512,20.541,19.646,24.209,24.209,28.185,25.556,25.556,26.892,26.892,3a,8.764,3e,19.646
PQ365538,3,9.091,27.375,20.701,19.646,23.817,23.817,27.646,25.475,25.475,27.504,27.504,3a,9.091,3e,19.646
PQ365539,3,24.961,21.095,22.756,23.794,10.798,10.798,30.560,22.117,22.117,26.634,26.634,3g,10.798,3b,21.095
PQ365540,3,9.077,26.485,21.691,21.113,24.487,24.487,28.549,24.595,24.595,27.464,27.464,3a,9.077,3d,21.691
MT863938,3,7.473,26.104,23.137,20.217,22.727,22.727,23.077,27.451,27.451,25.681,25.681,3a,7.473,3e,20.217
MT863939,3,7.473,26.104,23.137,20.217,22.727,22.727,23.077,27.451,27.451,25.681,25.681,3a,7.473,3e,20.217
MT863940,3,9.843,25.381,,17.788,24.303,24.303,25.126,27.982,27.982,23.858,23.858,3a,9.843,3e,17.788
MT863941,3,7.473,26.104,23.137,20.217,22.727,22.727,23.077,27.451,27.451,25.681,25.681,3a,7.473,3e,20.217
MT863960,3,5.694,24.597,22.835,19.134,22.344,22.344,24.696,24.280,24.280,26.070,26.070,3a,5.694,3e,19.134
MT863961,3,5.694,24.597,22.835,19.134,22.344,22.344,24.696,24.280,24.280,26.070,26.070,3a,5.694,3e,19.134
MT863962,3,5.694,24.597,23.228,19.856,22.344,22.344,24.291,24.691,24.691,24.903,24.903,3a,5.694,3e,19.856
MT863963,3,5.694,24.597,23.228,19.856,22.344,22.344,24.291,24.691,24.691,24.903,24.903,3a,5.694,3e,19.856
MT863970,3,9.253,27.016,23.228,20.217,21.887,21.887,25.217,25.417,25.417,27.820,27.820,3a,9.253,3e,20.217
MT863971,3,6.406,23.387,22.835,20.217,20.000,20.000,23.887,23.868,23.868,25.000,25.000,3a,6.406,3e,20.217
MT863982,3,9.253,24.194,21.654,19.495,20.800,20.800,25.911,23.868,23.868,26.692,26.692,3a,9.253,3e,19.495
MT863983,3,9.253,24.194,21.654,19.495,20.800,20.800,25.911,23.868,23.868,26.692,26.692,3a,9.253,3e,19.495
MT863985,3,7.117,25.806,22.047,20.939,22.305,22.305,24.696,23.431,23.431,26.070,26.070,3a,7.117,3e,20.939
MT863994,3,9.747,25.000,22.177,20.714,23.293,23.293,27.126,25.833,25.833,25.000,25.000,3a,9.747,3e,20.714
MT863995,3,8.303,23.790,21.260,19.643,22.727,22.727,26.316,25.000,25.000,24.194,24.194,3a,8.303,3e,19.643
MT863996,3,9.253,27.016,23.228,20.217,21.887,21.887,25.217,25.417,25.417,27.820,27.820,3a,9.253,3e,20.217
MT863997,3,6.406,23.387,22.835,20.217,20.000,20.000,23.887,23.868,23.868,25.000,25.000,3a,6.406,3e,20.217
MT863998,3,10.676,26.210,20.079,20.217,23.843,23.843,23.482,25.197,25.197,26.316,26.316,3a,10.676,3e,20.217
MT863999,3,8.541,24.194,20.866,20.221,20.000,20.000,23.887,24.706,24.706,24.903,24.903,3a,8.541,3e,20.221
MT864000,3,10.676,27.823,23.790,21.033,22.000,22.000,26.087,26.250,26.250,28.571,28.571,3a,10.676,3e,21.033
MT864001,3,9.253,27.016,23.228,20.217,21.887,21.887,25.217,25.417,25.417,27.820,27.820,3a,9.253,3e,20.217
MT864004,3,9.609,24.597,22.835,18.824,19.600,19.600,24.464,,,27.016,27.016,3a,9.609,3e,18.824
MT864005,3,9.609,24.597,22.835,18.824,19.600,19.600,24.464,,,27.016,27.016,3a,9.609,3e,18.824
MT995316,3,7.668,26.480,21.053,20.451,23.817,23.817,29.383,24.171,24.171,26.817,26.817,3a,7.668,3e,20.451
MT995317,3,7.668,26.689,21.372,20.290,23.975,23.975,29.383,24.684,24.684,26.656,26.656,3a,7.668,3e,20.290
MT995318,3,7.668,26.689,21.372,20.290,23.975,23.975,29.383,24.684,24.684,26.656,26.656,3a,7.668,3e,20.290
MT995319,3,7.825,26.689,21.212,20.290,24.171,24.171,29.308,24.525,24.525,26.656,26.656,3a,7.825,3e,20.290
MT995320,3,7.825,27.183,21.212,20.290,23.975,23.975,28.663,24.842,24.842,26.171,26.171,3a,7.825,3e,20.290
MT995321,3,6.573,28.180,21.053,20.451,23.817,23.817,28.868,24.525,24.525,26.624,26.624,3a,6.573,3e,20.451
MT995322,3,6.573,28.180,21.053,20.451,23.817,23.817,28.868,24.525,24.525,26.624,26.624,3a,6.573,3e,20.451
MT995323,3,6.573,28.180,21.053,20.451,23.817,23.817,28.868,24.525,24.525,26.624,26.624,3a,6.573,3e,20.451
MT995324,3,6.573,28.180,21.053,20.451,23.817,23.817,28.868,24.525,24.525,26.624,26.624,3a,6.573,3e,20.451
MT995325,3,6.573,28.180,21.053,20.451,23.817,23.817,28.868,24.525,24.525,26.624,26.624,3a,6.573,3e,20.451
MT995326,3,7.355,27.138,21.406,20.484,23.750,23.750,28.710,25.592,25.592,27.302,27.302,3a,7.355,3e,20.484
MT995327,3,7.825,26.974,21.212,20.484,23.750,23.750,28.824,25.592,25.592,27.141,27.141,3a,7.825,3e,20.484
MT995328,3,7.825,26.974,21.212,20.484,23.750,23.750,28.824,25.592,25.592,27.141,27.141,3a,7.825,3e,20.484
MT995329,3,7.199,26.645,21.246,20.000,23.125,23.125,28.710,25.434,25.434,26.817,26.817,3a,7.199,3e,20.000
MT995330,3,7.355,26.480,20.447,20.161,23.318,23.318,28.871,25.158,25.158,26.656,26.656,3a,7.355,3d,20.447
MT995331,3,7.668,28.336,21.815,21.256,23.817,23.817,29.299,25.687,25.687,27.948,27.948,3a,7.668,3e,21.256
MT995332,3,7.825,28.336,21.656,21.095,23.817,23.817,29.140,25.604,25.604,27.787,27.787,3a,7.825,3e,21.095
MT995333,3,7.825,28.171,21.656,21.095,23.975,23.975,29.140,25.525,25.525,27.948,27.948,3a,7.825,3e,21.095
MT995334,3,7.981,28.501,21.497,21.256,23.975,23.975,29.299,25.765,25.765,27.948,27.948,3a,7.981,3e,21.256
MT995335,3,7.981,28.501,21.497,21.256,23.975,23.975,29.299,25.765,25.765,27.948,27.948,3a,7.981,3e,21.256
MT995346,3,7.825,26.466,21.019,19.807,24.290,24.290,27.877,25.750,25.750,26.817,26.817,3a,7.825,3e,19.807
MT995347,3,7.825,26.466,21.019,19.807,24.290,24.290,27.877,25.750,25.750,26.817,26.817,3a,7.825,3e,19.807
MT995348,3,7.825,26.466,21.019,19.807,24.290,24.290,27.877,25.750,25.750,26.817,26.817,3a,7.825,3e,19.807
MT995349,3,7.825,26.466,21.019,19.807,24.290,24.290,27.877,25.750,25.750,26.817,26.817,3a,7.825,3e,19.807
MT995350,3,7.825,26.466,21.019,19.807,24.290,24.290,27.877,25.750,25.750,26.817,26.817,3a,7.825,3e,19.807
PQ144092,3,8.300,27.328,22.222,19.753,23.139,23.139,29.091,26.465,26.465,28.283,28.283,3a,8.300,3e,19.753
PQ144093,3,9.524,28.164,23.488,21.569,23.843,23.843,29.537,27.273,27.273,28.342,28.342,3a,9.524,3e,21.569
ON595719,3,11.437,25.688,25.000,19.534,22.255,22.255,23.431,26.994,26.994,26.822,26.822,3a,11.437,3e,19.534
ON595721,3,15.517,26.096,22.467,21.767,27.212,27.212,25.105,29.437,29.437,27.897,27.897,3a,15.517,3e,21.767
ON595722,3,11.842,26.170,21.538,21.207,23.680,23.680,27.833,26.102,26.102,28.547,28.547,3a,11.842,3e,21.207
ON595723,3,7.792,24.823,18.543,22.759,27.703,27.703,,22.517,22.517,19.728,19.728,3a,7.792,3d,18.543
MN628574,3,8.607,25.963,20.734,19.646,22.713,22.713,29.665,25.316,25.316,25.926,25.926,3a,8.607,3e,19.646
MN628575,3,10.016,25.121,20.096,20.129,22.555,22.555,28.549,25.158,25.158,25.000,25.000,3a,10.016,3d,20.096
MN628576,3,9.390,25.926,22.169,20.773,23.502,23.502,28.868,25.949,25.949,25.316,25.316,3a,9.390,3e,20.773
MN628577,3,8.607,24.667,21.531,20.934,23.186,23.186,28.896,25.908,25.908,26.266,26.266,3a,8.607,3e,20.934
MN628578,3,7.981,26.023,20.415,21.256,23.381,23.381,29.346,24.842,24.842,25.475,25.475,3a,7.981,3d,20.415
MN628579,3,9.077,26.144,20.574,20.773,22.992,22.992,29.825,25.791,25.791,26.108,26.108,3a,9.077,3d,20.574
MN628581,3,9.703,26.023,20.734,20.934,21.924,21.924,29.187,26.032,26.032,27.057,27.057,3a,9.703,3d,20.734
MN628582,3,9.546,25.765,19.298,20.290,22.713,22.713,29.346,25.079,25.079,25.633,25.633,3a,9.546,3d,19.298
MN628583,3,8.920,26.144,21.372,21.095,23.028,23.028,29.665,26.698,26.698,26.582,26.582,3a,8.920,3d,21.372
MN628584,3,9.233,25.205,20.415,20.290,22.907,22.907,29.187,24.645,24.645,24.684,24.684,3a,9.233,3d,20.415
MN628585,3,8.920,26.350,20.734,21.095,22.871,22.871,29.027,25.873,25.873,27.215,27.215,3a,8.920,3d,20.734
MN628586,3,9.233,25.532,21.691,20.773,23.028,23.028,28.230,25.908,25.908,25.641,25.641,3a,9.233,3e,20.773
MN628587,3,9.077,26.689,21.053,19.677,22.713,22.713,29.346,25.791,25.791,25.604,25.604,3a,9.077,3e,19.677
MN628588,3,9.390,26.248,20.255,20.773,23.186,23.186,29.027,25.791,25.791,26.266,26.266,3a,9.390,3d,20.255
MN628589,3,8.294,25.817,20.574,20.934,22.240,22.240,29.187,26.266,26.266,25.321,25.321,3a,8.294,3d,20.574
MN628590,3,8.294,25.654,20.734,20.612,22.362,22.362,29.665,25.949,25.949,25.475,25.475,3a,8.294,3d,20.734
MN628591,3,9.390,25.817,20.893,20.934,23.186,23.186,29.346,26.698,26.698,26.424,26.424,3a,9.390,3d,20.893
MN628593,3,9.703,25.859,20.734,21.256,23.659,23.659,29.825,26.741,26.741,25.791,25.791,3a,9.703,3d,20.734
MN628594,3,10.329,25.041,21.372,21.417,23.344,23.344,29.506,26.190,26.190,25.791,25.791,3a,10.329,3d,21.372
MN628595,3,8.764,26.689,19.777,19.646,23.028,23.028,29.027,25.158,25.158,25.765,25.765,3a,8.764,3d,19.777
MN628596,3,8.764,26.023,20.574,20.612,23.223,23.223,29.187,25.475,25.475,25.158,25.158,3a,8.764,3d,20.574
MN628597,3,9.077,26.350,20.574,20.773,21.924,21.924,29.027,25.714,25.714,26.108,26.108,3a,9.077,3d,20.574
MN641935,3,5.863,25.448,23.311,19.269,22.476,22.476,24.521,25.175,25.175,25.448,25.448,3a,5.863,3e,19.269
MN641936,3,0.651,29.391,24.662,21.927,23.453,23.453,25.287,26.855,26.855,27.957,27.957,3a,0.651,3e,21.927
MN641937,3,8.143,25.773,22.635,19.865,20.875,20.875,24.904,26.937,26.937,25.090,25.090,3a,8.143,3e,19.865
MN641938,3,9.772,24.014,21.284,18.937,22.150,22.150,24.521,26.573,26.573,24.014,24.014,3a,9.772,3e,18.937
MN641939,3,7.166,23.843,22.635,17.276,21.824,21.824,23.755,25.442,25.442,24.373,24.373,3a,7.166,3e,17.276
MN641940,3,7.818,25.939,25.338,18.966,22.476,22.476,25.735,26.199,26.199,25.090,25.090,3a,7.818,3e,18.966
MN641941,3,7.190,26.690,22.973,18.937,24.183,24.183,23.372,26.855,26.855,26.523,26.523,3a,7.190,3e,18.937
MN641942,3,8.824,25.448,22.635,19.079,23.588,23.588,24.138,25.177,25.177,22.939,22.939,3a,8.824,3e,19.079
MN641943,3,8.143,24.199,22.623,19.934,22.150,22.150,24.521,25.795,25.795,26.882,26.882,3a,8.143,3e,19.934
MN641944,3,8.795,24.911,22.295,20.266,22.150,22.150,23.755,26.855,26.855,27.240,27.240,3a,8.795,3e,20.266
MN641945,3,7.166,24.555,21.622,18.605,22.476,22.476,23.755,26.148,26.148,25.806,25.806,3a,7.166,3e,18.605
MN641946,3,10.098,25.000,22.973,22.297,23.127,23.127,26.316,27.208,27.208,26.882,26.882,3a,10.098,3e,22.297
MN641947,3,9.772,25.267,22.105,20.209,21.141,21.141,24.715,24.908,24.908,25.267,25.267,3a,9.772,3e,20.209
MN641948,3,8.143,24.731,21.284,20.270,21.173,21.173,23.755,24.735,24.735,24.731,24.731,3a,8.143,3e,20.270
MN641949,3,6.515,26.207,21.959,19.269,22.876,22.876,25.000,25.795,25.795,25.517,25.517,3a,6.515,3e,19.269
MN641950,3,10.098,25.517,21.622,19.601,21.498,21.498,23.897,24.028,24.028,25.862,25.862,3a,10.098,3e,19.601
MN641951,3,9.772,25.172,21.284,19.269,21.173,21.173,23.529,23.675,23.675,25.517,25.517,3a,9.772,3e,19.269
MN641952,3,9.772,25.172,21.284,19.269,21.173,21.173,23.529,23.675,23.675,25.517,25.517,3a,9.772,3e,19.269
MN641953,3,8.469,24.658,21.284,18.605,19.870,19.870,23.162,23.322,23.322,24.138,24.138,3a,8.469,3e,18.605
MN641954,3,8.795,25.172,21.622,18.937,20.847,20.847,23.529,24.028,24.028,24.138,24.138,3a,8.795,3e,18.937
MN641955,3,8.795,25.090,22.635,20.066,23.179,23.179,24.521,25.795,25.795,25.806,25.806,3a,8.795,3e,20.066
MN641956,3,8.795,25.090,22.635,20.066,23.179,23.179,24.521,25.795,25.795,25.806,25.806,3a,8.795,3e,20.066
MN641957,3,10.749,23.571,20.608,18.937,21.824,21.824,22.426,22.509,22.509,24.731,24.731,3a,10.749,3e,18.937
MN641958,3,10.423,26.523,20.270,19.601,22.549,22.549,23.529,25.177,25.177,25.448,25.448,3a,10.423,3e,19.601
MN641978,3,8.824,24.399,21.622,17.940,20.779,20.779,23.529,23.404,23.404,24.483,24.483,3a,8.824,3e,17.940
MN641979,3,12.418,28.179,26.014,22.184,25.413,25.413,28.676,27.500,27.500,22.843,22.843,3a,12.418,3e,22.184
MN998617,3,10.035,25.448,21.404,18.685,23.214,23.214,23.755,25.182,25.182,26.165,26.165,3a,10.035,3e,18.685
MN998618,3,15.225,23.843,21.053,19.031,22.500,22.500,22.989,25.830,25.830,26.165,26.165,3a,15.225,3e,19.031
MN998619,3,11.073,26.523,21.053,19.031,22.143,22.143,24.521,25.092,25.092,25.448,25.448,3a,11.073,3e,19.031
MN998620,3,13.495,25.090,22.456,20.890,23.675,23.675,22.568,25.912,25.912,27.599,27.599,3a,13.495,3e,20.890
MN998621,3,10.035,27.240,21.754,17.993,21.505,21.505,,23.985,23.985,25.090,25.090,3a,10.035,3e,17.993
MN998622,3,10.035,26.882,20.351,20.761,22.143,22.143,21.875,24.723,24.723,26.523,26.523,3a,10.035,3d,20.351
MN998623,3,13.495,25.623,22.105,21.107,24.286,24.286,23.372,26.937,26.937,26.882,26.882,3a,13.495,3e,21.107
MN998624,3,11.073,25.623,22.807,20.415,21.786,21.786,22.605,25.185,25.185,27.957,27.957,3a,11.073,3e,20.415
MN998625,3,11.073,26.523,22.105,18.685,22.143,22.143,23.755,26.568,26.568,25.806,25.806,3a,11.073,3e,18.685
MN998626,3,11.073,27.240,20.000,17.931,23.656,23.656,24.046,22.878,22.878,24.373,24.373,3a,11.073,3e,17.931
MN998627,3,13.841,25.806,22.807,21.233,24.028,24.028,22.137,26.642,26.642,27.240,27.240,3a,13.841,3e,21.233
MT062953,3,10.035,26.165,21.754,17.586,20.430,20.430,23.755,23.985,23.985,24.731,24.731,3a,10.035,3e,17.586
MT062954,3,11.073,27.240,22.456,17.869,23.214,23.214,24.904,25.275,25.275,26.165,26.165,3a,11.073,3e,17.869
MT062955,3,12.111,27.957,21.754,20.415,24.643,24.643,25.185,25.830,25.830,27.599,27.599,3a,12.111,3e,20.415
MT062956,3,10.035,27.240,21.754,17.993,21.505,21.505,,23.985,23.985,25.090,25.090,3a,10.035,3e,17.993
MT062957,3,13.841,26.335,22.456,20.761,25.000,25.000,22.605,26.568,26.568,27.957,27.957,3a,13.841,3e,20.761
MT062958,3,13.841,23.509,21.053,19.723,22.491,22.491,21.456,22.222,22.222,27.083,27.083,3a,13.841,3e,19.723
MT062959,3,13.149,25.090,23.860,20.890,23.675,23.675,22.519,27.372,27.372,26.523,26.523,3a,13.149,3e,20.890
MT062960,3,12.803,25.090,21.053,19.377,22.143,22.143,24.521,25.092,25.092,27.599,27.599,3a,12.803,3e,19.377
MT062961,3,14.533,23.656,22.105,20.548,22.615,22.615,22.901,25.912,25.912,26.882,26.882,3a,14.533,3e,20.548
