Accession,AssignedGenotype,Subtype5aDistance,Subtype5bDistance,FirstChoiceSubtype,FirstChoiceDistance,SecondChoiceSubtype,SecondChoiceDistance
MG453558,5,9.650,21.364,5a,9.650,5b,21.364
MG453575,5,5.357,19.345,5a,5.357,5b,19.345
MG453576,5,7.731,20.361,5a,7.731,5b,20.361
MG453577,5,6.845,20.299,5a,6.845,5b,20.299
MG453582,5,10.102,21.915,5a,10.102,5b,21.915
MG453588,5,9.312,21.082,5a,9.312,5b,21.082
MG453589,5,8.860,21.207,5a,8.860,5b,21.207
MG453596,5,6.603,19.718,5a,6.603,5b,19.718
MG454958,5,8.235,26.603,5a,8.235,5b,26.603
MG454993,5,10.751,28.003,5a,10.751,5b,28.003
MG454994,5,9.926,27.721,5a,9.926,5b,27.721
MG455011,5,11.397,28.256,5a,11.397,5b,28.256
MG455015,5,12.721,29.018,5a,12.721,5b,29.018
MG455032,5,12.500,29.485,5a,12.500,5b,29.485
MG455033,5,11.176,27.112,5a,11.176,5b,27.112
MG455043,5,12.077,27.279,5a,12.077,5b,27.279
MG455069,5,12.003,27.065,5a,12.003,5b,27.065
MG455072,5,11.691,28.434,5a,11.691,5b,28.434
MG455080,5,12.206,28.235,5a,12.206,5b,28.235
MG455115,5,11.838,28.603,5a,11.838,5b,28.603
MG455144,5,11.778,26.860,5a,11.778,5b,26.860
MG455149,5,11.397,27.655,5a,11.397,5b,27.655
MG455182,5,9.489,26.562,5a,9.489,5b,26.562
MG455217,5,12.574,27.447,5a,12.574,5b,27.447
MG455231,5,11.185,27.115,5a,11.185,5b,27.115
MG455234,5,14.074,29.985,5a,14.074,5b,29.985
MG455236,5,10.515,26.397,5a,10.515,5b,26.397
MG455249,5,11.037,27.679,5a,11.037,5b,27.679
MG455279,5,13.745,29.481,5a,13.745,5b,29.481
MG455280,5,11.838,27.085,5a,11.838,5b,27.085
MG455286,5,11.926,27.441,5a,11.926,5b,27.441
MG455291,5,11.778,27.226,5a,11.778,5b,27.226
MG455312,5,12.222,28.647,5a,12.222,5b,28.647
MG455325,5,9.630,26.657,5a,9.630,5b,26.657
MG455339,5,13.011,29.059,5a,13.011,5b,29.059
MG455357,5,11.333,27.077,5a,11.333,5b,27.077
MG455358,5,10.881,27.509,5a,10.881,5b,27.509
MG455359,5,9.481,26.780,5a,9.481,5b,26.780
MG455367,5,12.148,28.116,5a,12.148,5b,28.116
MG455374,5,11.556,28.030,5a,11.556,5b,28.030
MG455375,5,10.444,27.138,5a,10.444,5b,27.138
MG455384,5,8.963,26.280,5a,8.963,5b,26.280
PQ899567,5,16.239,23.160,5a,16.239,5b,23.160
PQ899568,5,22.878,0.000,5b,0.000,5a,22.878
PP092207,5,30.330,30.807,5a,30.330,5b,30.807
MH427314,5,7.619,20.079,5a,7.619,5b,20.079
MH427315,5,5.982,20.225,5a,5.982,5b,20.225
MH427316,5,6.490,20.000,5a,6.490,5b,20.000
MH427317,5,7.111,20.732,5a,7.111,5b,20.732
MH703670,5,28.537,30.549,5a,28.537,5b,30.549
MH703678,5,31.144,28.087,5b,28.087,5a,31.144
MH703689,5,30.000,29.384,5b,29.384,5a,30.000
MH703693,5,31.630,29.024,5b,29.024,5a,31.630
D14213,5,5.655,18.182,5a,5.655,5b,18.182
D50467,5,6.087,17.953,5a,6.087,5b,17.953
DQ164538,5,7.353,21.471,5a,7.353,5b,21.471
DQ164539,5,5.000,19.118,5a,5.000,5b,19.118
DQ164540,5,6.176,19.706,5a,6.176,5b,19.706
DQ164541,5,3.824,20.000,5a,3.824,5b,20.000
DQ164542,5,4.118,20.294,5a,4.118,5b,20.294
DQ164543,5,5.000,18.788,5a,5.000,5b,18.788
DQ164544,5,5.294,19.118,5a,5.294,5b,19.118
DQ164642,5,11.111,26.779,5a,11.111,5b,26.779
DQ164643,5,10.517,25.281,5a,10.517,5b,25.281
DQ164644,5,9.896,27.461,5a,9.896,5b,27.461
DQ164645,5,9.722,26.910,5a,9.722,5b,26.910
DQ164646,5,9.375,26.454,5a,9.375,5b,26.454
DQ164647,5,7.867,27.241,5a,7.867,5b,27.241
DQ164648,5,7.812,25.907,5a,7.812,5b,25.907
DQ164649,5,7.812,25.874,5a,7.812,5b,25.874
DQ164650,5,10.517,25.344,5a,10.517,5b,25.344
DQ164651,5,11.458,26.217,5a,11.458,5b,26.217
DQ164652,5,9.201,26.079,5a,9.201,5b,26.079
DQ164653,5,9.828,24.892,5a,9.828,5b,24.892
DQ164654,5,9.722,26.226,5a,9.722,5b,26.226
DQ164655,5,11.754,26.030,5a,11.754,5b,26.030
DQ164656,5,9.481,26.130,5a,9.481,5b,26.130
DQ164657,5,11.449,25.000,5a,11.449,5b,25.000
DQ164658,5,8.288,25.516,5a,8.288,5b,25.516
DQ164659,5,8.393,25.094,5a,8.393,5b,25.094
DQ164660,5,9.302,26.079,5a,9.302,5b,26.079
DQ164661,5,11.938,26.334,5a,11.938,5b,26.334
DQ164662,5,11.560,27.188,5a,11.560,5b,27.188
DQ164663,5,10.631,27.469,5a,10.631,5b,27.469
DQ164664,5,7.812,26.266,5a,7.812,5b,26.266
DQ164665,5,9.302,25.147,5a,9.302,5b,25.147
DQ164666,5,10.243,27.925,5a,10.243,5b,27.925
DQ164667,5,9.549,25.516,5a,9.549,5b,25.516
DQ164668,5,10.417,25.094,5a,10.417,5b,25.094
DQ164669,5,7.986,24.765,5a,7.986,5b,24.765
DQ164670,5,9.201,26.770,5a,9.201,5b,26.770
DQ164671,5,9.375,26.598,5a,9.375,5b,26.598
DQ164672,5,10.417,25.283,5a,10.417,5b,25.283
DQ164673,5,8.507,25.891,5a,8.507,5b,25.891
DQ164674,5,8.507,24.793,5a,8.507,5b,24.793
DQ164675,5,8.681,25.891,5a,8.681,5b,25.891
DQ164676,5,8.202,25.704,5a,8.202,5b,25.704
DQ164677,5,10.417,27.116,5a,10.417,5b,27.116
DQ164678,5,8.042,27.383,5a,8.042,5b,27.383
DQ164679,5,10.417,24.906,5a,10.417,5b,24.906
DQ164680,5,9.722,25.328,5a,9.722,5b,25.328
DQ164681,5,10.243,26.207,5a,10.243,5b,26.207
DQ164682,5,9.722,25.328,5a,9.722,5b,25.328
DQ164683,5,9.375,25.283,5a,9.375,5b,25.283
DQ164684,5,10.069,26.736,5a,10.069,5b,26.736
DQ164685,5,9.896,27.461,5a,9.896,5b,27.461
DQ164686,5,10.243,25.141,5a,10.243,5b,25.141
DQ164687,5,12.264,26.729,5a,12.264,5b,26.729
DQ164688,5,11.458,25.913,5a,11.458,5b,25.913
DQ164689,5,10.197,24.853,5a,10.197,5b,24.853
DQ164690,5,8.042,27.069,5a,8.042,5b,27.069
DQ164691,5,8.696,26.573,5a,8.696,5b,26.573
DQ164692,5,10.590,27.257,5a,10.590,5b,27.257
DQ164693,5,9.375,27.622,5a,9.375,5b,27.622
DQ164694,5,8.507,25.891,5a,8.507,5b,25.891
DQ164695,5,10.069,27.736,5a,10.069,5b,27.736
DQ164696,5,7.292,26.261,5a,7.292,5b,26.261
DQ164697,5,10.435,25.427,5a,10.435,5b,25.427
DQ164698,5,10.069,27.431,5a,10.069,5b,27.431
DQ164699,5,6.771,24.767,5a,6.771,5b,24.767
DQ164700,5,10.435,25.427,5a,10.435,5b,25.427
DQ164701,5,9.391,27.130,5a,9.391,5b,27.130
DQ164702,5,7.304,25.391,5a,7.304,5b,25.391
DQ164703,5,8.507,25.472,5a,8.507,5b,25.472
DQ164704,5,8.348,25.849,5a,8.348,5b,25.849
DQ164705,5,9.722,26.389,5a,9.722,5b,26.389
DQ164706,5,7.812,25.561,5a,7.812,5b,25.561
DQ164707,5,7.292,26.261,5a,7.292,5b,26.261
DQ164708,5,8.854,25.996,5a,8.854,5b,25.996
DQ164709,5,8.507,26.573,5a,8.507,5b,26.573
DQ164710,5,9.896,26.829,5a,9.896,5b,26.829
DQ164711,5,10.453,25.626,5a,10.453,5b,25.626
DQ164712,5,11.285,27.448,5a,11.285,5b,27.448
DQ164713,5,10.297,26.792,5a,10.297,5b,26.792
DQ164714,5,9.375,25.141,5a,9.375,5b,25.141
DQ164715,5,8.681,26.829,5a,8.681,5b,26.829
DQ164716,5,12.326,26.425,5a,12.326,5b,26.425
DQ164718,5,10.764,27.431,5a,10.764,5b,27.431
DQ164719,5,10.243,26.389,5a,10.243,5b,26.389
DQ164720,5,10.069,27.130,5a,10.069,5b,27.130
DQ164721,5,9.722,25.891,5a,9.722,5b,25.891
DQ164722,5,8.854,26.454,5a,8.854,5b,26.454
DQ164723,5,9.896,25.676,5a,9.896,5b,25.676
DQ164724,5,8.000,26.038,5a,8.000,5b,26.038
DQ164725,5,8.348,25.926,5a,8.348,5b,25.926
DQ164726,5,6.944,26.435,5a,6.944,5b,26.435
DQ164727,5,6.783,25.283,5a,6.783,5b,25.283
DQ164728,5,8.333,25.043,5a,8.333,5b,25.043
DQ164729,5,7.853,25.784,5a,7.853,5b,25.784
DQ164730,5,8.160,24.528,5a,8.160,5b,24.528
DQ164731,5,11.285,24.769,5a,11.285,5b,24.769
DQ164732,5,7.130,25.660,5a,7.130,5b,25.660
DQ164733,5,8.681,25.290,5a,8.681,5b,25.290
DQ164734,5,7.118,25.283,5a,7.118,5b,25.283
DQ164735,5,9.028,25.283,5a,9.028,5b,25.283
DQ164736,5,7.652,26.215,5a,7.652,5b,26.215
DQ164737,5,8.696,25.472,5a,8.696,5b,25.472
DQ164738,5,9.375,27.210,5a,9.375,5b,27.210
DQ164739,5,6.597,25.216,5a,6.597,5b,25.216
DQ164740,5,10.069,24.528,5a,10.069,5b,24.528
DQ164741,5,9.549,25.660,5a,9.549,5b,25.660
DQ164742,5,9.965,25.347,5a,9.965,5b,25.347
DQ164743,5,9.075,24.717,5a,9.075,5b,24.717
DQ164744,5,7.018,26.087,5a,7.018,5b,26.087
DQ164745,5,8.333,24.906,5a,8.333,5b,24.906
DQ164746,5,10.069,27.448,5a,10.069,5b,27.448
DQ164747,5,8.681,27.478,5a,8.681,5b,27.478
DQ333614,5,6.684,18.462,5a,6.684,5b,18.462
DQ333615,5,5.656,18.718,5a,5.656,5b,18.718
DQ333616,5,6.170,19.487,5a,6.170,5b,19.487
DQ333617,5,8.483,18.462,5a,8.483,5b,18.462
DQ333618,5,5.398,18.205,5a,5.398,5b,18.205
DQ333619,5,5.913,17.949,5a,5.913,5b,17.949
DQ333620,5,7.455,18.205,5a,7.455,5b,18.205
DQ333621,5,6.427,18.974,5a,6.427,5b,18.974
DQ333622,5,6.170,18.718,5a,6.170,5b,18.718
DQ333623,5,7.969,19.744,5a,7.969,5b,19.744
DQ333624,5,7.712,19.744,5a,7.712,5b,19.744
DQ333625,5,7.198,20.000,5a,7.198,5b,20.000
DQ333626,5,4.370,17.692,5a,4.370,5b,17.692
DQ333627,5,5.913,17.692,5a,5.913,5b,17.692
DQ333628,5,7.198,18.718,5a,7.198,5b,18.718
DQ333629,5,6.684,18.205,5a,6.684,5b,18.205
DQ333630,5,6.684,18.205,5a,6.684,5b,18.205
DQ333631,5,5.398,18.718,5a,5.398,5b,18.718
DQ333632,5,7.712,18.462,5a,7.712,5b,18.462
DQ333633,5,6.684,17.949,5a,6.684,5b,17.949
DQ333634,5,7.455,17.949,5a,7.455,5b,17.949
DQ333635,5,7.455,20.513,5a,7.455,5b,20.513
DQ333636,5,6.684,18.205,5a,6.684,5b,18.205
DQ333637,5,5.398,18.462,5a,5.398,5b,18.462
DQ333638,5,6.684,17.692,5a,6.684,5b,17.692
DQ333639,5,5.398,18.974,5a,5.398,5b,18.974
DQ333640,5,7.198,18.462,5a,7.198,5b,18.462
DQ333641,5,6.941,17.949,5a,6.941,5b,17.949
DQ333642,5,6.427,18.205,5a,6.427,5b,18.205
DQ333643,5,6.427,17.949,5a,6.427,5b,17.949
DQ333644,5,5.656,20.256,5a,5.656,5b,20.256
DQ333645,5,6.427,18.974,5a,6.427,5b,18.974
DQ333646,5,6.684,20.000,5a,6.684,5b,20.000
DQ333647,5,7.198,18.462,5a,7.198,5b,18.462
DQ333648,5,7.712,18.718,5a,7.712,5b,18.718
DQ333649,5,5.656,19.231,5a,5.656,5b,19.231
DQ333650,5,7.198,19.231,5a,7.198,5b,19.231
DQ333651,5,5.398,18.974,5a,5.398,5b,18.974
DQ333652,5,7.198,19.744,5a,7.198,5b,19.744
DQ333653,5,6.427,19.744,5a,6.427,5b,19.744
DQ333654,5,7.712,17.692,5a,7.712,5b,17.692
DQ333655,5,7.712,20.000,5a,7.712,5b,20.000
DQ333656,5,5.141,18.462,5a,5.141,5b,18.462
DQ333657,5,8.740,19.487,5a,8.740,5b,19.487
DQ333658,5,7.969,20.000,5a,7.969,5b,20.000
DQ333659,5,4.370,18.462,5a,4.370,5b,18.462
DQ333660,5,5.398,19.487,5a,5.398,5b,19.487
DQ333661,5,6.170,18.718,5a,6.170,5b,18.718
DQ333663,5,7.198,17.692,5a,7.198,5b,17.692
DQ333664,5,4.884,18.974,5a,4.884,5b,18.974
DQ333665,5,5.656,17.436,5a,5.656,5b,17.436
DQ333666,5,6.427,18.205,5a,6.427,5b,18.205
DQ333667,5,7.712,18.718,5a,7.712,5b,18.718
DQ333668,5,7.198,17.949,5a,7.198,5b,17.949
DQ333669,5,5.913,18.462,5a,5.913,5b,18.462
DQ333670,5,5.141,18.718,5a,5.141,5b,18.718
DQ333671,5,5.398,18.205,5a,5.398,5b,18.205
DQ333672,5,5.913,18.718,5a,5.913,5b,18.718
DQ333673,5,5.398,18.718,5a,5.398,5b,18.718
DQ333674,5,6.170,18.462,5a,6.170,5b,18.462
DQ333675,5,5.398,17.692,5a,5.398,5b,17.692
DQ333676,5,4.627,18.462,5a,4.627,5b,18.462
DQ333677,5,5.398,18.462,5a,5.398,5b,18.462
DQ333678,5,6.684,17.949,5a,6.684,5b,17.949
DQ333679,5,6.170,18.205,5a,6.170,5b,18.205
DQ333680,5,3.856,17.179,5a,3.856,5b,17.179
DQ333681,5,4.627,18.718,5a,4.627,5b,18.718
DQ333682,5,7.712,18.974,5a,7.712,5b,18.974
DQ333683,5,8.483,18.462,5a,8.483,5b,18.462
DQ333684,5,5.398,17.949,5a,5.398,5b,17.949
DQ333685,5,5.656,17.692,5a,5.656,5b,17.692
DQ333686,5,7.969,19.487,5a,7.969,5b,19.487
DQ333687,5,6.684,18.718,5a,6.684,5b,18.718
DQ333688,5,5.398,17.436,5a,5.398,5b,17.436
DQ333689,5,5.913,19.487,5a,5.913,5b,19.487
DQ333690,5,6.427,18.718,5a,6.427,5b,18.718
EF026073,5,23.196,24.444,5a,23.196,5b,24.444
EF136859,5,7.705,18.211,5a,7.705,5b,18.211
EF523600,5,7.544,20.514,5a,7.544,5b,20.514
PX934580,5,23.016,31.559,5a,23.016,5b,31.559
U31274,5,11.659,23.529,5a,11.659,5b,23.529
Y13184,5,9.436,23.499,5a,9.436,5b,23.499
AB204662,5,6.949,20.606,5a,6.949,5b,20.606
AB204663,5,5.438,21.212,5a,5.438,5b,21.212
AB204664,5,5.136,19.394,5a,5.136,5b,19.394
AB204665,5,5.136,20.909,5a,5.136,5b,20.909
AB204666,5,6.647,20.303,5a,6.647,5b,20.303
AB204667,5,6.344,19.444,5a,6.344,5b,19.444
AB204668,5,5.438,20.000,5a,5.438,5b,20.000
AB204669,5,6.647,20.000,5a,6.647,5b,20.000
AB204670,5,4.834,19.697,5a,4.834,5b,19.697
AB204671,5,6.949,20.606,5a,6.949,5b,20.606
AB204672,5,6.647,20.303,5a,6.647,5b,20.303
AB204673,5,6.042,20.909,5a,6.042,5b,20.909
AB204674,5,6.042,20.606,5a,6.042,5b,20.606
AB204675,5,5.136,19.394,5a,5.136,5b,19.394
AB204676,5,4.532,20.000,5a,4.532,5b,20.000
AB204677,5,5.438,19.697,5a,5.438,5b,19.697
AB204678,5,5.740,20.606,5a,5.740,5b,20.606
AB204679,5,4.545,19.394,5a,4.545,5b,19.394
AB204680,5,0.000,19.394,5a,0.000,5b,19.394
AB204681,5,6.042,20.606,5a,6.042,5b,20.606
AB204682,5,6.042,20.606,5a,6.042,5b,20.606
AB204683,5,6.042,21.515,5a,6.042,5b,21.515
AB204684,5,6.344,19.394,5a,6.344,5b,19.394
AB204685,5,6.647,20.000,5a,6.647,5b,20.000
AF064490,5,0.000,22.878,5a,0.000,5b,22.878
AF515976,5,6.490,20.944,5a,6.490,5b,20.944
AF515977,5,8.260,20.606,5a,8.260,5b,20.606
AF516046,5,5.310,20.944,5a,5.310,5b,20.944
AF516051,5,6.785,20.059,5a,6.785,5b,20.059
AJ291281,5,6.042,19.091,5a,6.042,5b,19.091
AJ608776,5,4.724,17.585,5a,4.724,5b,17.585
AJ608777,5,6.824,18.110,5a,6.824,5b,18.110
AJ608778,5,4.462,18.373,5a,4.462,5b,18.373
AJ608779,5,5.249,18.898,5a,5.249,5b,18.898
AJ608780,5,5.512,18.373,5a,5.512,5b,18.373
AJ608781,5,4.987,18.898,5a,4.987,5b,18.898
AJ608782,5,5.774,19.160,5a,5.774,5b,19.160
AJ608783,5,6.037,18.898,5a,6.037,5b,18.898
AJ608784,5,6.562,18.898,5a,6.562,5b,18.898
AJ608785,5,5.805,18.997,5a,5.805,5b,18.997
AJ626926,5,5.056,18.258,5a,5.056,5b,18.258
AJ626990,5,3.933,18.820,5a,3.933,5b,18.820
AJ626991,5,5.618,18.539,5a,5.618,5b,18.539
AJ626992,5,5.337,20.225,5a,5.337,5b,20.225
AJ626993,5,7.022,21.629,5a,7.022,5b,21.629
AJ626994,5,6.742,20.225,5a,6.742,5b,20.225
AJ626995,5,5.337,20.787,5a,5.337,5b,20.787
AJ626996,5,6.742,21.348,5a,6.742,5b,21.348
AJ626997,5,5.618,19.663,5a,5.618,5b,19.663
AJ626998,5,5.337,18.820,5a,5.337,5b,18.820
AJ880694,5,8.333,21.131,5a,8.333,5b,21.131
AJ880747,5,7.738,19.345,5a,7.738,5b,19.345
AM408911,5,23.196,24.444,5a,23.196,5b,24.444
AY373466,5,5.789,19.211,5a,5.789,5b,19.211
AY373467,5,6.170,19.744,5a,6.170,5b,19.744
AY373468,5,5.913,18.205,5a,5.913,5b,18.205
AY373469,5,8.158,19.737,5a,8.158,5b,19.737
AY373470,5,5.913,18.462,5a,5.913,5b,18.462
AY373471,5,7.198,20.051,5a,7.198,5b,20.051
AY373472,5,5.031,18.553,5a,5.031,5b,18.553
AY373473,5,6.684,18.205,5a,6.684,5b,18.205
AY373474,5,8.226,20.256,5a,8.226,5b,20.256
AY373475,5,7.627,20.339,5a,7.627,5b,20.339
AY373476,5,9.474,20.526,5a,9.474,5b,20.526
AY373477,5,7.455,18.462,5a,7.455,5b,18.462
AY373478,5,5.656,19.487,5a,5.656,5b,19.487
AY373479,5,7.455,18.205,5a,7.455,5b,18.205
AY373480,5,7.817,19.137,5a,7.817,5b,19.137
AY373481,5,6.752,19.293,5a,6.752,5b,19.293
AY373482,5,7.198,17.949,5a,7.198,5b,17.949
AY373483,5,5.656,18.974,5a,5.656,5b,18.974
AY373484,5,8.629,18.228,5a,8.629,5b,18.228
AY373485,5,5.249,19.948,5a,5.249,5b,19.948
AY373486,5,21.538,22.051,5a,21.538,5b,22.051
AY373487,5,7.969,18.974,5a,7.969,5b,18.974
AY373488,5,5.656,18.718,5a,5.656,5b,18.718
AY373489,5,6.170,17.692,5a,6.170,5b,17.692
AY373490,5,5.913,18.462,5a,5.913,5b,18.462
AY373491,5,7.712,20.256,5a,7.712,5b,20.256
AY597258,5,4.858,19.758,5a,4.858,5b,19.758
GU945429,5,11.774,24.839,5a,11.774,5b,24.839
GU945432,5,11.774,24.677,5a,11.774,5b,24.677
HM107696,5,6.667,20.690,5a,6.667,5b,20.690
HM566121,5,7.914,20.045,5a,7.914,5b,20.045
HQ385855,5,7.101,19.412,5a,7.101,5b,19.412
HQ385856,5,7.479,19.391,5a,7.479,5b,19.391
HQ385857,5,5.460,18.966,5a,5.460,5b,18.966
HQ385858,5,7.101,20.354,5a,7.101,5b,20.354
HQ385859,5,5.930,19.946,5a,5.930,5b,19.946
HQ385860,5,9.270,18.258,5a,9.270,5b,18.258
HQ385861,5,4.775,19.101,5a,4.775,5b,19.101
HQ385862,5,7.584,19.663,5a,7.584,5b,19.663
HQ385863,5,5.899,19.944,5a,5.899,5b,19.944
HQ385864,5,6.799,18.980,5a,6.799,5b,18.980
HQ385866,5,6.407,18.384,5a,6.407,5b,18.384
HQ385868,5,7.022,18.820,5a,7.022,5b,18.820
HQ385869,5,6.799,18.980,5a,6.799,5b,18.980
HQ385870,5,6.742,21.348,5a,6.742,5b,21.348
HQ385871,5,9.270,20.225,5a,9.270,5b,20.225
HQ385872,5,8.989,19.663,5a,8.989,5b,19.663
HQ623404,5,6.998,25.277,5a,6.998,5b,25.277
HQ623405,5,7.919,23.801,5a,7.919,5b,23.801
HQ623406,5,8.672,24.908,5a,8.672,5b,24.908
HQ623407,5,7.735,25.092,5a,7.735,5b,25.092
HQ623408,5,8.840,24.723,5a,8.840,5b,24.723
HQ623409,5,8.287,25.461,5a,8.287,5b,25.461
HQ623410,5,7.735,25.092,5a,7.735,5b,25.092
HQ623411,5,7.735,25.461,5a,7.735,5b,25.461
HQ623412,5,8.471,25.646,5a,8.471,5b,25.646
HQ623413,5,9.945,24.354,5a,9.945,5b,24.354
HQ623414,5,7.735,22.694,5a,7.735,5b,22.694
HQ623415,5,7.735,24.723,5a,7.735,5b,24.723
HQ623416,5,8.103,23.247,5a,8.103,5b,23.247
HQ623417,5,6.998,25.092,5a,6.998,5b,25.092
HQ623418,5,7.735,23.801,5a,7.735,5b,23.801
HQ623419,5,7.735,23.985,5a,7.735,5b,23.985
HQ623420,5,6.814,24.354,5a,6.814,5b,24.354
HQ623421,5,7.366,24.170,5a,7.366,5b,24.170
HQ623422,5,8.287,24.170,5a,8.287,5b,24.170
HQ623423,5,7.366,23.985,5a,7.366,5b,23.985
HQ623424,5,6.446,25.092,5a,6.446,5b,25.092
HQ623425,5,8.103,23.616,5a,8.103,5b,23.616
HQ623426,5,8.103,25.461,5a,8.103,5b,25.461
JN116564,5,10.056,19.553,5a,10.056,5b,19.553
JN116565,5,7.692,20.330,5a,7.692,5b,20.330
JN116566,5,5.966,18.927,5a,5.966,5b,18.927
JQ318453,5,6.471,20.588,5a,6.471,5b,20.588
JQ318516,5,6.176,20.882,5a,6.176,5b,20.882
JQ318557,5,7.059,20.294,5a,7.059,5b,20.294
PX387001,5,9.853,23.175,5a,9.853,5b,23.175
PX387002,5,9.387,23.413,5a,9.387,5b,23.413
EU558516,5,7.988,21.239,5a,7.988,5b,21.239
EU684638,5,5.693,19.753,5a,5.693,5b,19.753
FJ872356,5,6.254,19.318,5a,6.254,5b,19.318
FJ872357,5,8.084,20.294,5a,8.084,5b,20.294
FJ872358,5,7.732,20.568,5a,7.732,5b,20.568
FJ872359,5,6.993,19.886,5a,6.993,5b,19.886
FJ872360,5,7.395,20.466,5a,7.395,5b,20.466
FJ872361,5,8.646,20.921,5a,8.646,5b,20.921
FJ872362,5,6.795,19.943,5a,6.795,5b,19.943
FJ872363,5,7.758,19.683,5a,7.758,5b,19.683
FJ872364,5,7.361,20.305,5a,7.361,5b,20.305
FJ872365,5,7.871,20.113,5a,7.871,5b,20.113
FJ872366,5,7.248,20.543,5a,7.248,5b,20.543
FJ872367,5,7.914,19.718,5a,7.914,5b,19.718
FJ872368,5,7.447,20.352,5a,7.447,5b,20.352
FJ872369,5,7.679,20.580,5a,7.679,5b,20.580
